	Twet	Load	Hour(s)	TimeStamp(s)
2012-01-07 19:00:00	6.6	58.2	68400	1325962800
2012-01-07 20:00:00	4.9	58.2	72000	1325966400
2012-01-07 21:00:00	4.1	58.2	75600	1325970000
2012-01-07 22:00:00	3.2	58.2	79200	1325973600
2012-01-07 23:00:00	2.8	436.5	82800	1325977200
2012-01-08 00:00:00	2.6	58.2	0	1325980800
2012-01-08 02:00:00	2.8	649.9000000000002	7200	1325988000
2012-01-08 03:00:00	2.0	795.4000000000002	10800	1325991600
2012-01-08 04:00:00	1.1	873.0	14400	1325995200
2012-01-08 05:00:00	1.4	950.6	18000	1325998800
2012-01-08 06:00:00	1.4	873.0	21600	1326002400
2012-01-08 07:00:00	1.3	843.9	25200	1326006000
2012-01-08 08:00:00	3.1	582.0000000000001	28800	1326009600
2012-01-08 09:00:00	3.8	494.7000000000001	32400	1326013200
2012-01-08 10:00:00	3.9	436.5	36000	1326016800
2012-01-08 11:00:00	4.2	475.3	39600	1326020400
2012-01-08 12:00:00	4.9	485.0	43200	1326024000
2012-01-08 13:00:00	5.0	475.3	46800	1326027600
2012-01-08 14:00:00	4.5	485.0	50400	1326031200
2012-01-08 15:00:00	3.4	436.5	54000	1326034800
2012-01-08 16:00:00	3.0	543.2	57600	1326038400
2012-01-08 17:00:00	2.5	58.2	61200	1326042000
2012-01-08 18:00:00	1.9	58.2	64800	1326045600
2012-01-08 19:00:00	1.6	58.2	68400	1326049200
2012-01-08 20:00:00	0.6	58.2	72000	1326052800
2012-01-08 21:00:00	0.1	58.2	75600	1326056400
2012-01-08 22:00:00	-0.3	58.2	79200	1326060000
2012-01-08 23:00:00	-2.2	58.2	82800	1326063600
2012-01-09 00:00:00	-2.6	776.0	0	1326067200
2012-01-09 01:00:00	-2.6	814.8000000000002	3600	1326070800
2012-01-09 02:00:00	-1.7	58.2	7200	1326074400
2012-01-09 03:00:00	-3.1	58.2	10800	1326078000
2012-01-09 04:00:00	-3.3	58.2	14400	1326081600
2012-01-09 05:00:00	-3.1	378.3	18000	1326085200
2012-01-09 06:00:00	-2.4	58.2	21600	1326088800
2012-01-09 07:00:00	-1.7	368.6	25200	1326092400
2012-01-09 08:00:00	-0.3	58.2	28800	1326096000
2012-01-09 09:00:00	-0.2	58.2	32400	1326099600
2012-01-09 10:00:00	0.0	58.2	36000	1326103200
2012-01-09 11:00:00	0.2	58.2	39600	1326106800
2012-01-09 12:00:00	0.1	58.2	43200	1326110400
2012-01-09 13:00:00	0.2	58.2	46800	1326114000
2012-01-09 14:00:00	0.4	58.2	50400	1326117600
2012-01-09 15:00:00	0.1	58.2	54000	1326121200
2012-01-09 16:00:00	0.1	58.2	57600	1326124800
2012-01-09 17:00:00	0.1	58.2	61200	1326128400
2012-01-09 18:00:00	0.1	58.2	64800	1326132000
2012-01-09 19:00:00	0.1	58.2	68400	1326135600
2012-01-09 20:00:00	0.3	1231.9	72000	1326139200
2012-01-09 21:00:00	0.3	785.7	75600	1326142800
2012-01-09 22:00:00	0.3	756.6	79200	1326146400
2012-01-09 23:00:00	0.8	611.1	82800	1326150000
2012-01-10 00:00:00	0.8	523.8000000000002	0	1326153600
2012-01-10 01:00:00	1.2	649.9000000000002	3600	1326157200
2012-01-10 02:00:00	1.2	543.2	7200	1326160800
2012-01-10 03:00:00	0.6	562.6	10800	1326164400
2012-01-10 04:00:00	0.6	669.3000000000002	14400	1326168000
2012-01-10 05:00:00	0.3	659.6	18000	1326171600
2012-01-10 06:00:00	-0.2	649.9000000000002	21600	1326175200
2012-01-10 07:00:00	-0.2	659.6	25200	1326178800
2012-01-10 08:00:00	0.7	630.5	28800	1326182400
2012-01-10 09:00:00	2.8	611.1	32400	1326186000
2012-01-10 10:00:00	4.9	611.1	36000	1326189600
2012-01-10 11:00:00	5.2	611.1	39600	1326193200
2012-01-10 12:00:00	5.1	58.2	43200	1326196800
2012-01-10 13:00:00	5.6	58.2	46800	1326200400
2012-01-10 14:00:00	5.7	58.2	50400	1326204000
2012-01-10 15:00:00	5.8	620.8000000000002	54000	1326207600
2012-01-10 16:00:00	5.0	591.7	57600	1326211200
2012-01-10 17:00:00	2.9	601.4	61200	1326214800
2012-01-10 18:00:00	2.0	679.0000000000001	64800	1326218400
2012-01-10 19:00:00	0.5	58.2	68400	1326222000
2012-01-10 20:00:00	0.1	58.2	72000	1326225600
2012-01-10 21:00:00	-0.4	475.3	75600	1326229200
2012-01-10 22:00:00	-1.3	485.0	79200	1326232800
2012-01-10 23:00:00	-1.7	843.9	82800	1326236400
2012-01-11 00:00:00	-1.3	989.4	0	1326240000
2012-01-11 01:00:00	-1.9	58.2	3600	1326243600
2012-01-11 02:00:00	-2.2	58.2	7200	1326247200
2012-01-11 03:00:00	-2.6	1522.9	10800	1326250800
2012-01-11 04:00:00	-2.8	776.0	14400	1326254400
2012-01-11 05:00:00	-2.8	58.2	18000	1326258000
2012-01-11 06:00:00	-1.5	999.1	21600	1326261600
2012-01-11 07:00:00	-2.2	562.6	25200	1326265200
2012-01-11 08:00:00	1.6	485.0	28800	1326268800
2012-01-11 09:00:00	3.2	494.7000000000001	32400	1326272400
2012-01-11 10:00:00	4.6	494.7000000000001	36000	1326276000
2012-01-11 11:00:00	6.0	485.0	39600	1326279600
2012-01-11 12:00:00	5.9	494.7000000000001	43200	1326283200
2012-01-11 13:00:00	6.4	485.0	46800	1326286800
2012-01-11 14:00:00	6.4	494.7000000000001	50400	1326290400
2012-01-11 15:00:00	6.1	737.2	54000	1326294000
2012-01-11 16:00:00	6.1	679.0000000000001	57600	1326297600
2012-01-11 17:00:00	6.1	679.0000000000001	61200	1326301200
2012-01-11 18:00:00	5.6	688.7	64800	1326304800
2012-01-11 19:00:00	5.3	727.5	68400	1326308400
2012-01-11 20:00:00	5.6	717.8000000000002	72000	1326312000
2012-01-11 21:00:00	5.8	776.0	75600	1326315600
2012-01-11 22:00:00	6.4	58.2	79200	1326319200
2012-01-11 23:00:00	6.9	58.2	82800	1326322800
2012-01-12 00:00:00	7.5	58.2	0	1326326400
2012-01-12 01:00:00	8.0	58.2	3600	1326330000
2012-01-12 02:00:00	9.1	58.2	7200	1326333600
2012-01-12 03:00:00	9.1	58.2	10800	1326337200
2012-01-12 04:00:00	9.1	58.2	14400	1326340800
2012-01-12 05:00:00	8.8	58.2	18000	1326344400
2012-01-12 06:00:00	7.5	58.2	21600	1326348000
2012-01-12 07:00:00	6.6	58.2	25200	1326351600
2012-01-12 08:00:00	6.1	58.2	28800	1326355200
2012-01-12 09:00:00	7.0	58.2	32400	1326358800
2012-01-12 10:00:00	7.5	58.2	36000	1326362400
2012-01-12 11:00:00	8.3	58.2	39600	1326366000
2012-01-12 12:00:00	8.9	58.2	43200	1326369600
2012-01-12 13:00:00	10.2	58.2	46800	1326373200
2012-01-12 14:00:00	10.2	58.2	50400	1326376800
2012-01-12 15:00:00	10.7	58.2	54000	1326380400
2012-01-12 16:00:00	10.2	58.2	57600	1326384000
2012-01-12 17:00:00	8.8	58.2	61200	1326387600
2012-01-12 18:00:00	8.8	58.2	64800	1326391200
2012-01-12 19:00:00	9.1	58.2	68400	1326394800
2012-01-12 20:00:00	8.6	58.2	72000	1326398400
2012-01-12 21:00:00	8.6	58.2	75600	1326402000
2012-01-12 22:00:00	9.4	58.2	79200	1326405600
2012-01-12 23:00:00	9.6	58.2	82800	1326409200
2012-01-13 00:00:00	9.1	58.2	0	1326412800
2012-01-13 01:00:00	9.1	58.2	3600	1326416400
2012-01-13 02:00:00	5.6	58.2	7200	1326420000
2012-01-13 03:00:00	4.0	58.2	10800	1326423600
2012-01-13 04:00:00	2.0	601.4	14400	1326427200
2012-01-13 05:00:00	1.2	58.2	18000	1326430800
2012-01-13 06:00:00	-0.7	58.2	21600	1326434400
2012-01-13 07:00:00	-2.8	58.2	25200	1326438000
2012-01-13 08:00:00	-2.5	58.2	28800	1326441600
2012-01-13 09:00:00	-2.1	58.2	32400	1326445200
2012-01-13 10:00:00	-1.8	58.2	36000	1326448800
2012-01-13 11:00:00	-1.6	58.2	39600	1326452400
2012-01-13 12:00:00	-1.7	58.2	43200	1326456000
2012-01-13 13:00:00	-1.5	58.2	46800	1326459600
2012-01-13 14:00:00	-1.4	58.2	50400	1326463200
2012-01-13 15:00:00	-1.4	58.2	54000	1326466800
2012-01-13 16:00:00	-1.6	58.2	57600	1326470400
2012-01-13 17:00:00	-2.1	58.2	61200	1326474000
2012-01-13 18:00:00	-2.5	58.2	64800	1326477600
2012-01-13 19:00:00	-3.0	58.2	68400	1326481200
2012-01-13 20:00:00	-3.5	58.2	72000	1326484800
2012-01-13 21:00:00	-4.0	58.2	75600	1326488400
2012-01-13 22:00:00	-4.3	485.0	79200	1326492000
2012-01-13 23:00:00	-4.7	911.8	82800	1326495600
2012-01-14 00:00:00	-4.7	960.3	0	1326499200
2012-01-14 01:00:00	-4.7	999.1	3600	1326502800
2012-01-14 02:00:00	-5.0	989.4	7200	1326506400
2012-01-14 03:00:00	-4.7	989.4	10800	1326510000
2012-01-14 04:00:00	-5.0	1008.8	14400	1326513600
2012-01-14 05:00:00	-5.0	999.1	18000	1326517200
2012-01-14 06:00:00	-5.4	999.1	21600	1326520800
2012-01-14 07:00:00	-5.4	572.3000000000002	25200	1326524400
2012-01-14 08:00:00	-4.3	494.7000000000001	28800	1326528000
2012-01-14 09:00:00	-3.5	494.7000000000001	32400	1326531600
2012-01-14 10:00:00	-2.6	504.4	36000	1326535200
2012-01-14 11:00:00	-2.3	485.0	39600	1326538800
2012-01-14 12:00:00	-1.6	485.0	43200	1326542400
2012-01-14 13:00:00	-1.2	475.3	46800	1326546000
2012-01-14 14:00:00	-1.9	494.7000000000001	50400	1326549600
2012-01-14 15:00:00	-1.9	737.2	54000	1326553200
2012-01-14 16:00:00	-2.4	708.0999999999998	57600	1326556800
2012-01-14 17:00:00	-3.1	717.8000000000002	61200	1326560400
2012-01-14 18:00:00	-3.5	727.5	64800	1326564000
2012-01-14 19:00:00	-4.2	737.2	68400	1326567600
2012-01-14 20:00:00	-4.5	785.7	72000	1326571200
2012-01-14 21:00:00	-4.3	843.9	75600	1326574800
2012-01-14 22:00:00	-4.3	58.2	79200	1326578400
2012-01-14 23:00:00	-4.3	43.65	82800	1326582000
2012-01-15 00:00:00	-4.7	43.65	0	1326585600
2012-01-15 01:00:00	-4.7	43.65	3600	1326589200
2012-01-15 02:00:00	-5.2	43.65	7200	1326592800
2012-01-15 03:00:00	-5.2	43.65	10800	1326596400
2012-01-15 04:00:00	-5.8	43.65	14400	1326600000
2012-01-15 05:00:00	-6.2	43.65	18000	1326603600
2012-01-15 06:00:00	-6.2	43.65	21600	1326607200
2012-01-15 07:00:00	-6.0	43.65	25200	1326610800
2012-01-15 08:00:00	-4.9	43.65	28800	1326614400
2012-01-15 09:00:00	-4.4	58.2	32400	1326618000
2012-01-15 10:00:00	-4.7	43.65	36000	1326621600
2012-01-15 11:00:00	-4.6	43.65	39600	1326625200
2012-01-15 12:00:00	-4.5	43.65	43200	1326628800
2012-01-15 13:00:00	-4.0	43.65	46800	1326632400
2012-01-15 14:00:00	-3.9	58.2	50400	1326636000
2012-01-15 15:00:00	-3.8	58.2	54000	1326639600
2012-01-15 16:00:00	-4.5	58.2	57600	1326643200
2012-01-15 17:00:00	-4.6	58.2	61200	1326646800
2012-01-15 18:00:00	-5.3	58.2	64800	1326650400
2012-01-15 19:00:00	-5.7	58.2	68400	1326654000
2012-01-15 20:00:00	-6.5	58.2	72000	1326657600
2012-01-15 21:00:00	-6.9	43.65	75600	1326661200
2012-01-15 22:00:00	-6.9	58.2	79200	1326664800
2012-01-15 23:00:00	-7.5	58.2	82800	1326668400
