	Power	Date	PowerL	TsetL
2012-01-05 21:00:00	2925.0	5/1/2012 21:00	191242	20.11
2012-01-05 22:00:00	2926.0	5/1/2012 22:00	556413	21.11
2012-01-05 23:00:00	2927.0	5/1/2012 23:00	199895	20.11
2012-01-06 00:00:00	3648.0	6/1/2012 0:00	203430	20.11
2012-01-06 01:00:00	3649.0	6/1/2012 1:00	484997	20.11
2012-01-06 02:00:00	3650.0	6/1/2012 2:00	462580	21.11
2012-01-06 03:00:00	3651.0	6/1/2012 3:00	464617	22.11
2012-01-06 04:00:00	3652.0	6/1/2012 4:00	393239	23.11
2012-01-06 05:00:00	3653.0	6/1/2012 5:00	583485	24.11
2012-01-06 06:00:00	3654.0	6/1/2012 6:00	576410	23.11
2012-01-06 07:00:00	3655.0	6/1/2012 7:00	576410	23.11
2012-01-06 08:00:00	3656.0	6/1/2012 8:00	578942	23.11
2012-01-06 09:00:00	3657.0	6/1/2012 9:00	604642	25.11
2012-01-06 10:00:00	3658.0	6/1/2012 10:00	568073	25.11
2012-01-06 11:00:00	3659.0	6/1/2012 11:00	322417	25.11
2012-01-06 12:00:00	3660.0	6/1/2012 12:00	739122	25.11
2012-01-06 13:00:00	3661.0	6/1/2012 13:00	686477	24.11
2012-01-06 14:00:00	3662.0	6/1/2012 14:00	640042	24.11
2012-01-06 15:00:00	3663.0	6/1/2012 15:00	612729	23.11
2012-01-06 16:00:00	3664.0	6/1/2012 16:00	588028	23.11
2012-01-06 17:00:00	3665.0	6/1/2012 17:00	573785	22.11
2012-01-06 18:00:00	3666.0	6/1/2012 18:00	245077	24.11
2012-01-06 19:00:00	3667.0	6/1/2012 19:00	228280	23.11
2012-01-06 20:00:00	3668.0	6/1/2012 20:00	238230	23.11
2012-01-06 21:00:00	3669.0	6/1/2012 21:00	227812	22.11
2012-01-06 22:00:00	3670.0	6/1/2012 22:00	628993	20.11
2012-01-06 23:00:00	3671.0	6/1/2012 23:00	196130	20.11
2012-01-07 00:00:00	4368.0	7/1/2012 0:00	558623	26.11
2012-01-07 01:00:00	4369.0	7/1/2012 1:00	563728	26.11
2012-01-07 02:00:00	4370.0	7/1/2012 2:00	560103	26.11
2012-01-07 03:00:00	4371.0	7/1/2012 3:00	550186	25.11
2012-01-07 04:00:00	4372.0	7/1/2012 4:00	532250	25.11
2012-01-07 05:00:00	4373.0	7/1/2012 5:00	536783	25.11
2012-01-07 06:00:00	4374.0	7/1/2012 6:00	561902	26.11
2012-01-07 07:00:00	4375.0	7/1/2012 7:00	590142	26.11
2012-01-07 08:00:00	4376.0	7/1/2012 8:00	631017	26.11
2012-01-07 09:00:00	4377.0	7/1/2012 9:00	634427	26.11
2012-01-07 10:00:00	4378.0	7/1/2012 10:00	605865	26.11
2012-01-07 11:00:00	4379.0	7/1/2012 11:00	600291	26.11
2012-01-07 12:00:00	4380.0	7/1/2012 12:00	633426	26.11
2012-01-07 13:00:00	4381.0	7/1/2012 13:00	630592	26.11
2012-01-07 14:00:00	4382.0	7/1/2012 14:00	642401	26.11
2012-01-07 15:00:00	4383.0	7/1/2012 15:00	636188	26.11
2012-01-07 16:00:00	4384.0	7/1/2012 16:00	593702	25.11
2012-01-07 17:00:00	4385.0	7/1/2012 17:00	559710	25.11
2012-01-07 18:00:00	4386.0	7/1/2012 18:00	543014	25.11
2012-01-07 19:00:00	4387.0	7/1/2012 19:00	545858	25.11
2012-01-07 20:00:00	4388.0	7/1/2012 20:00	536868	25.11
2012-01-07 21:00:00	4389.0	7/1/2012 21:00	537017	25.11
2012-01-07 22:00:00	4390.0	7/1/2012 22:00	608766	25.11
2012-01-07 23:00:00	4391.0	7/1/2012 23:00	518663	25.11
2012-01-08 00:00:00	5112.0	8/1/2012 0:00	492727	24.11
2012-01-08 01:00:00	5113.0	8/1/2012 1:00	423550	23.11
2012-01-08 02:00:00	5114.0	8/1/2012 2:00	423186	23.11
2012-01-08 03:00:00	5115.0	8/1/2012 3:00	417834	23.11
2012-01-08 04:00:00	5116.0	8/1/2012 4:00	418525	23.11
2012-01-08 05:00:00	5117.0	8/1/2012 5:00	419963	23.11
2012-01-08 06:00:00	5118.0	8/1/2012 6:00	556942	24.11
2012-01-08 07:00:00	5119.0	8/1/2012 7:00	515006	24.11
2012-01-08 08:00:00	5120.0	8/1/2012 8:00	536099	24.11
2012-01-08 09:00:00	5121.0	8/1/2012 9:00	575509	25.11
2012-01-08 10:00:00	5122.0	8/1/2012 10:00	541719	25.11
2012-01-08 11:00:00	5123.0	8/1/2012 11:00	582024	25.11
2012-01-08 12:00:00	5124.0	8/1/2012 12:00	692752	26.11
2012-01-08 13:00:00	5125.0	8/1/2012 13:00	702917	26.11
2012-01-08 14:00:00	5126.0	8/1/2012 14:00	719993	26.11
2012-01-08 15:00:00	5127.0	8/1/2012 15:00	744168	26.11
2012-01-08 16:00:00	5128.0	8/1/2012 16:00	705777	26.11
2012-01-08 17:00:00	5129.0	8/1/2012 17:00	655233	26.11
2012-01-08 18:00:00	5130.0	8/1/2012 18:00	576248	26.11
2012-01-08 19:00:00	5131.0	8/1/2012 19:00	547771	25.11
2012-01-08 20:00:00	5132.0	8/1/2012 20:00	545498	25.11
2012-01-08 21:00:00	5133.0	8/1/2012 21:00	539628	25.11
2012-01-08 22:00:00	5134.0	8/1/2012 22:00	645016	25.11
2012-01-08 23:00:00	5135.0	8/1/2012 23:00	530221	25.11
2012-01-09 00:00:00	5856.0	9/1/2012 0:00	543764	26.11
2012-01-09 01:00:00	5857.0	9/1/2012 1:00	517049	24.11
2012-01-09 02:00:00	5858.0	9/1/2012 2:00	429852	24.11
2012-01-09 03:00:00	5859.0	9/1/2012 3:00	428129	24.11
2012-01-09 04:00:00	5860.0	9/1/2012 4:00	499594	24.11
2012-01-09 05:00:00	5861.0	9/1/2012 5:00	429852	24.11
2012-01-09 06:00:00	5862.0	9/1/2012 6:00	432280	24.11
2012-01-09 07:00:00	5863.0	9/1/2012 7:00	284709	25.11
2012-01-09 08:00:00	5864.0	9/1/2012 8:00	536263	25.11
2012-01-09 09:00:00	5865.0	9/1/2012 9:00	533363	26.11
2012-01-09 10:00:00	5866.0	9/1/2012 10:00	551088	26.11
2012-01-09 11:00:00	5867.0	9/1/2012 11:00	565841	26.11
2012-01-09 12:00:00	5868.0	9/1/2012 12:00	588297	26.11
2012-01-09 13:00:00	5869.0	9/1/2012 13:00	607753	26.11
2012-01-09 14:00:00	5870.0	9/1/2012 14:00	631615	26.11
2012-01-09 15:00:00	5871.0	9/1/2012 15:00	630493	26.11
