Power Tset
151088.0 15.11
198051.0 15.11
132954.0 15.11
233986.0 15.11
248458.0 15.11
267998.0 15.11
276511.0 15.11
276607.0 15.11
261169.0 15.11
161086.0 15.11
142673.0 15.11
145633.0 15.11
141966.0 15.11
143097.0 15.11
201372.0 15.11
138641.0 15.11
141490.0 15.11
168946.0 15.11
177409.0 15.11
182328.0 15.11
184812.0 15.11
188001.0 15.11
193601.0 15.11
201074.0 15.11
250092.0 15.11
271949.0 16.11
155162.0 17.11
304743.0 17.11
323026.0 18.11
349902.0 18.11
350534.0 18.11
344196.0 18.11
345147.0 18.11
198617.0 18.11
152031.0 15.11
146535.0 15.11
144778.0 15.11
141445.0 15.11
265903.0 15.11
144298.0 15.11
140052.0 15.11
174365.0 15.11
278090.0 15.11
155257.0 15.11
162735.0 15.11
160233.0 15.11
164603.0 15.11
157362.0 15.11
184020.0 15.11
143299.0 15.11
139402.0 15.11
203864.0 15.11
207329.0 15.11
218207.0 15.11
230342.0 15.11
223109.0 15.11
211414.0 15.11
149744.0 15.11
136012.0 15.11
136169.0 15.11
135791.0 15.11
146096.0 15.11
182335.0 15.11
137776.0 15.11
137173.0 15.11
