	Twet	Load	Tset
110	14.1	859.0	16.11
111	13.6	795.0	17.11
112	13.6	562.0	16.11
113	13.2	500.0	16.11
114	12.9	490.0	16.11
115	13.7	495.0	16.11
116	13.2	492.0	16.11
117	13.0	877.0	15.11
118	13.8	511.0	16.11
119	12.8	504.0	15.11
120	12.3	918.0	15.11
121	12.3	542.0	15.11
122	12.5	557.0	15.11
123	12.6	553.0	15.11
124	13.3	542.0	16.11
125	14.5	573.0	17.11
126	14.5	488.0	17.11
127	14.1	1279.0	17.11
128	14.8	734.0	18.11
129	14.1	493.0	17.11
130	14.1	907.0	17.11
131	16.0	917.0	18.11
132	14.7	897.0	17.11
133	15.5	525.0	18.11
134	15.0	1468.0	18.11
135	15.4	817.0	18.11
136	16.2	576.0	19.11
137	15.4	499.0	18.11
138	15.2	504.0	18.11
139	14.7	506.0	17.11
140	14.7	508.0	17.11
141	14.7	909.0	17.11
142	14.4	528.0	17.11
143	14.4	521.0	17.11
144	13.7	1001.0	16.11
145	13.2	981.0	16.11
146	13.4	747.0	17.11
147	13.2	711.0	16.11
148	13.9	751.0	17.11
149	14.9	798.0	18.11
150	16.4	828.0	19.11
151	16.8	868.0	19.11
152	16.7	552.0	19.11
153	17.3	1117.0	20.11
154	16.7	717.0	20.11
155	17.2	1248.0	20.11
156	17.1	1721.0	20.11
157	16.9	556.0	19.11
158	17.1	884.0	19.11
159	16.7	872.0	19.11
160	15.6	620.0	18.11
161	15.4	547.0	18.11
162	14.3	509.0	17.11
163	14.1	514.0	17.11
164	13.9	505.0	17.11
165	14.2	1144.0	17.11
166	14.2	529.0	17.11
167	13.9	516.0	17.11
168	13.5	1029.0	16.11
169	13.2	949.0	16.11
170	13.3	707.0	16.11
171	13.6	709.0	17.11
172	13.8	738.0	17.11
173	15.5	812.0	18.11
174	16.1	892.0	18.11
175	16.7	527.0	19.11
176	17.6	1128.0	20.11
177	17.7	1114.0	20.11
178	18.1	562.0	21.11
179	17.7	1264.0	20.11
180	17.3	1329.0	20.11
181	17.3	1246.0	20.11
182	17.5	1309.0	20.11
183	17.0	1734.0	20.11
184	17.1	691.0	20.11
185	16.9	578.0	19.11
186	16.7	549.0	19.11
187	16.8	551.0	19.11
188	17.6	550.0	20.11
189	16.8	1208.0	19.11
190	16.8	533.0	19.11
191	16.6	537.0	19.11
192	16.6	563.0	19.11
193	16.7	551.0	19.11
194	15.7	546.0	18.11
195	15.3	534.0	18.11
196	16.1	543.0	19.11
197	17.0	561.0	20.11
198	17.9	572.0	20.11
199	19.2	614.0	22.11
200	18.7	622.0	21.11
201	18.8	549.0	21.11
202	18.4	659.0	21.11
203	18.0	646.0	21.11
204	18.4	677.0	21.11
205	18.4	679.0	21.11
206	19.0	646.0	22.11
207	18.4	636.0	21.11
208	19.0	629.0	22.11
209	18.9	634.0	22.11
210	18.6	587.0	21.11
211	19.9	564.0	22.11
212	20.0	562.0	22.11
213	20.0	631.0	23.11
214	20.1	557.0	23.11
215	18.9	551.0	21.11
216	19.6	544.0	22.11
217	19.4	539.0	22.11
218	18.2	551.0	21.11
219	18.5	557.0	21.11
220	18.7	546.0	21.11
221	19.9	560.0	22.11
222	19.9	579.0	22.11
223	20.0	631.0	23.11
