Twet Load Tset
18.8 470.0 21.11
18.5 471.0 21.11
18.1 474.0 20.11
17.1 456.0 19.11
17.5 458.0 20.11
17.3 435.0 20.11
17.1 441.0 19.11
17.2 433.0 19.11
16.7 435.0 19.11
15.9 454.0 18.11
16.0 472.0 18.11
16.3 458.0 19.11
16.4 1208.0 19.11
16.2 1130.0 19.11
16.0 1062.0 19.11
16.1 1013.0 19.11
15.9 1027.0 18.11
16.2 1097.0 19.11
16.7 1135.0 19.11
16.4 1143.0 19.11
17.0 1181.0 20.11
17.7 414.0 20.11
18.7 1226.0 21.11
18.7 1231.0 21.11
18.7 1167.0 21.11
18.2 1238.0 21.11
18.0 1204.0 21.11
18.2 1146.0 21.11
18.6 554.0 21.11
18.6 463.0 21.11
17.9 459.0 20.11
17.6 438.0 20.11
17.6 431.0 20.11
17.7 1213.0 20.11
17.7 480.0 20.11
18.0 472.0 20.11
18.2 1276.0 21.11
18.0 1154.0 21.11
18.4 1077.0 21.11
18.7 1103.0 21.11
18.4 1124.0 21.11
18.9 1178.0 21.11
18.9 1235.0 21.11
19.8 1246.0 22.11
19.9 1305.0 22.11
19.9 450.0 22.11
20.8 1283.0 23.11
19.9 1417.0 23.11
20.5 1388.0 23.11
20.3 1367.0 23.11
20.3 1271.0 23.11
20.5 1247.0 23.11
20.1 606.0 23.11
20.1 503.0 22.11
19.9 477.0 22.11
20.0 484.0 22.11
18.0 458.0 20.11
18.6 1368.0 21.11
18.6 523.0 21.11
18.4 506.0 21.11
17.8 1342.0 21.11
17.3 1155.0 20.11
17.3 1065.0 20.11
17.3 1249.0 20.11
17.2 819.0 19.11
17.9 1151.0 20.11
18.6 686.0 21.11
19.2 757.0 22.11
19.3 757.0 22.11
19.5 452.0 22.11
18.5 786.0 21.11
18.7 1646.0 22.11
19.5 1389.0 22.11
18.8 1276.0 21.11
19.7 1231.0 22.11
19.9 1248.0 22.11
19.3 577.0 22.11
19.5 493.0 22.11
19.8 467.0 22.11
19.6 485.0 22.11
19.4 476.0 22.11
18.6 842.0 21.11
19.0 536.0 21.11
18.1 521.0 21.11
17.8 1300.0 20.11
16.6 1087.0 19.11
15.8 730.0 19.11
15.1 703.0 18.11
15.1 728.0 18.11
12.2 631.0 15.11
12.9 701.0 16.11
13.4 767.0 17.11
13.9 865.0 16.11
14.1 491.0 17.11
14.5 924.0 17.11
14.7 910.0 17.11
14.3 906.0 17.11
14.1 920.0 17.11
14.3 923.0 17.11
13.9 896.0 16.11
13.4 538.0 16.11
13.4 444.0 16.11
12.7 431.0 15.11
12.2 431.0 15.11
12.2 430.0 15.11
13.0 888.0 16.11
12.0 437.0 15.11
11.7 422.0 15.11
11.5 964.0 15.11
12.0 573.0 15.11
11.8 585.0 15.11
10.7 605.0 15.11
12.1 560.0 15.11
12.7 640.0 16.11
14.0 721.0 17.11
14.4 822.0 17.11
14.6 874.0 17.11
14.3 422.0 17.11
14.1 869.0 16.11
14.7 872.0 17.11
15.0 738.0 18.11
14.9 1289.0 18.11
14.7 895.0 17.11
14.7 746.0 18.11
14.3 752.0 17.11
14.1 657.0 17.11
13.6 630.0 17.11
13.7 611.0 17.11
12.2 573.0 15.11
11.0 927.0 15.11
10.5 545.0 15.11
10.5 532.0 15.11
10.3 536.0 15.11
11.0 545.0 15.11
11.2 521.0 15.11
10.7 520.0 15.11
11.0 504.0 15.11
11.7 549.0 15.11
12.2 585.0 15.11
12.5 603.0 15.11
13.8 667.0 17.11
15.2 563.0 18.11
16.6 700.0 19.11
16.2 720.0 19.11
16.2 719.0 19.11
16.9 734.0 20.11
17.1 772.0 20.11
17.4 734.0 20.11
17.0 715.0 20.11
16.6 704.0 19.11
16.5 673.0 19.11
15.8 667.0 19.11
15.9 656.0 19.11
14.4 683.0 17.11
13.7 592.0 17.11
13.4 590.0 16.11
13.5 585.0 16.11
13.5 591.0 16.11
13.3 579.0 16.11
12.3 569.0 15.11
13.6 574.0 16.11
14.2 552.0 17.11
12.7 601.0 16.11
14.7 643.0 18.11
15.2 662.0 18.11
15.9 612.0 19.11
16.6 689.0 19.11
18.0 742.0 21.11
17.1 726.0 20.11
18.5 754.0 21.11
18.8 764.0 22.11
19.0 805.0 22.11
19.2 827.0 21.11
19.0 804.0 22.11
19.1 782.0 22.11
18.7 769.0 21.11
19.1 772.0 22.11
18.9 674.0 22.11
18.6 784.0 21.11
18.4 762.0 21.11
18.0 1161.0 21.11
18.0 1104.0 20.11
17.8 1082.0 20.11
17.8 1081.0 20.11
17.8 1081.0 20.11
17.8 1124.0 20.11
18.0 1155.0 21.11
18.4 1182.0 21.11
18.9 1239.0 21.11
19.1 787.0 22.11
19.0 1248.0 22.11
19.1 1327.0 22.11
19.4 1227.0 22.11
20.1 1252.0 23.11
20.0 1207.0 23.11
20.3 1181.0 23.11
20.3 1092.0 23.11
19.2 786.0 22.11
18.4 750.0 21.11
18.5 746.0 21.11
18.9 767.0 22.11
18.4 1232.0 21.11
18.2 728.0 21.11
17.9 707.0 21.11
17.9 1187.0 20.11
17.7 1083.0 20.11
17.7 1075.0 20.11
17.5 1156.0 20.11
18.0 804.0 21.11
18.0 1136.0 21.11
18.2 1183.0 21.11
18.4 1185.0 21.11
18.6 1202.0 21.11
19.0 743.0 22.11
19.8 1224.0 22.11
19.6 1237.0 22.11
20.5 1341.0 23.11
20.0 1343.0 23.11
20.6 1273.0 23.11
20.0 1274.0 23.11
20.1 1105.0 23.11
20.1 1249.0 23.11
19.4 1045.0 22.11
18.8 1054.0 21.11
18.8 768.0 22.11
19.2 1213.0 22.11
19.3 785.0 22.11
19.3 794.0 22.11
18.3 1137.0 21.11
18.2 1115.0 21.11
18.0 1105.0 20.11
18.0 1086.0 20.11
17.9 1145.0 20.11
18.2 1224.0 21.11
19.2 1272.0 22.11
19.4 1338.0 22.11
19.9 941.0 22.11
20.5 763.0 23.11
20.8 791.0 23.11
20.7 1603.0 23.11
21.5 1617.0 24.11
21.0 1589.0 24.11
21.2 1473.0 24.11
19.7 1433.0 22.11
20.0 1361.0 23.11
20.0 945.0 22.11
20.2 944.0 22.11
19.9 945.0 22.11
19.4 1247.0 22.11
19.3 1775.0 22.11
19.3 947.0 22.11
19.7 654.0 22.11
19.7 1701.0 22.11
19.5 1307.0 22.11
19.5 1284.0 22.11
19.5 1278.0 22.11
19.1 1281.0 22.11
18.9 1257.0 21.11
18.7 1540.0 21.11
18.8 724.0 22.11
19.5 1400.0 22.11
20.4 1633.0 23.11
20.8 758.0 23.11
21.2 1515.0 24.11
21.4 1537.0 24.11
21.4 1512.0 24.11
21.6 1491.0 24.11
20.8 1430.0 23.11
20.8 1593.0 23.11
20.5 946.0 23.11
20.4 1331.0 23.11
20.4 945.0 23.11
20.2 1271.0 23.11
20.0 1461.0 23.11
20.0 1786.0 22.11
20.4 946.0 23.11
20.7 1469.0 23.11
20.7 1313.0 23.11
20.7 1284.0 23.11
20.7 1292.0 23.11
20.7 1314.0 23.11
21.5 1334.0 24.11
21.5 1344.0 24.11
21.8 1425.0 24.11
22.0 1574.0 25.11
22.4 1746.0 25.11
22.5 803.0 25.11
22.4 1566.0 25.11
23.2 1586.0 26.11
22.9 1593.0 25.11
23.5 1556.0 26.11
23.2 1456.0 26.11
22.5 1368.0 25.11
21.7 1229.0 24.11
21.4 1624.0 24.11
21.1 946.0 23.11
21.3 1217.0 24.11
21.1 1552.0 24.11
20.9 946.0 23.11
21.3 947.0 24.11
20.7 947.0 23.11
20.5 1167.0 23.11
20.5 1141.0 23.11
20.2 946.0 22.11
20.5 947.0 23.11
20.7 766.0 23.11
21.1 1641.0 24.11
22.0 925.0 24.11
22.4 946.0 25.11
23.2 946.0 26.11
23.9 706.0 26.11
24.4 1377.0 26.11
24.0 1387.0 26.11
23.2 1383.0 26.11
22.9 1328.0 25.11
21.9 1251.0 24.11
22.9 1503.0 25.11
21.6 946.0 24.11
21.7 947.0 24.11
22.4 1194.0 25.11
22.2 1639.0 25.11
21.0 1313.0 24.11
20.6 946.0 23.11
20.1 946.0 22.11
19.9 943.0 22.11
20.0 946.0 22.11
20.4 946.0 23.11
20.2 946.0 22.11
20.7 1155.0 23.11
21.1 946.0 23.11
21.8 948.0 24.11
21.7 633.0 24.11
22.2 1515.0 25.11
22.9 946.0 25.11
22.9 660.0 25.11
23.0 1541.0 26.11
22.6 646.0 25.11
22.6 1453.0 25.11
22.2 898.0 24.11
23.0 909.0 25.11
22.9 929.0 25.11
21.7 930.0 24.11
22.7 924.0 25.11
19.3 818.0 21.11
20.2 819.0 22.11
20.2 1263.0 23.11
19.5 810.0 22.11
19.3 789.0 22.11
19.1 794.0 22.11
19.2 932.0 21.11
18.7 921.0 21.11
18.9 901.0 21.11
19.4 876.0 22.11
20.2 842.0 22.11
20.8 880.0 23.11
21.0 940.0 23.11
22.4 946.0 25.11
23.5 847.0 26.11
24.5 946.0 26.11
25.0 946.0 26.11
24.8 946.0 26.11
24.2 933.0 26.11
24.2 935.0 26.11
23.9 941.0 26.11
23.7 939.0 26.11
23.7 937.0 26.11
23.4 946.0 26.11
23.1 940.0 25.11
22.7 946.0 25.11
22.7 946.0 25.11
22.0 946.0 24.11
21.5 947.0 24.11
21.5 943.0 24.11
21.5 945.0 24.11
22.2 1590.0 25.11
22.9 1522.0 25.11
23.7 1656.0 26.11
23.7 1748.0 26.11
23.8 922.0 26.11
24.1 1780.0 26.11
24.0 1739.0 26.11
23.8 1719.0 26.11
23.7 1719.0 26.11
23.3 1658.0 26.11
23.2 1598.0 26.11
22.5 982.0 25.11
22.7 646.0 25.11
20.2 560.0 23.11
20.7 573.0 23.11
21.1 551.0 23.11
