Date	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset
1/5/2013 22:00	0.3	1319.2	79200	1357423200	480751	15.11
1/5/2013 23:00	0.9	1319.2	82800	1357426800	480878	15.11
1/6/2013 0:00	1.1	785.7	0	1357430400	248216	15.11
1/6/2013 1:00	1.4	1299.8	3600	1357434000	471652	15.11
1/6/2013 2:00	1.3	1299.8	7200	1357437600	471627	15.11
1/6/2013 3:00	1.5	1299.8	10800	1357441200	471677	15.11
1/6/2013 4:00	0.8	1299.8	14400	1357444800	471513	15.11
1/6/2013 5:00	-0.4	1290.1	18000	1357448400	466680	15.11
1/6/2013 6:00	-2.2	1299.8	21600	1357452000	471061	15.11
1/6/2013 7:00	-1.3	1328.9	25200	1357455600	485208	15.11
1/6/2013 8:00	1.5	1377.4	28800	1357459200	509935	15.11
1/6/2013 9:00	3.1	1183.4	32400	1357462800	418973	15.11
1/6/2013 10:00	3.2	1309.5	36000	1357466400	476924	15.11
1/6/2013 11:00	4.2	1299.8	39600	1357470000	472749	15.11
1/6/2013 12:00	4.5	1338.6	43200	1357473600	491820	15.11
1/6/2013 13:00	4.1	1367.7	46800	1357477200	506151	15.11
1/6/2013 14:00	4.3	1348.3	50400	1357480800	496525	15.11
1/6/2013 15:00	4.2	1377.4	54000	1357484400	511125	15.11
1/6/2013 16:00	3.8	1396.8	57600	1357488000	520857	15.11
1/6/2013 17:00	3.8	1367.7	61200	1357491600	505995	15.11
1/6/2013 18:00	3.5	1367.7	64800	1357495200	505844	15.11
1/6/2013 19:00	3.5	1328.9	68400	1357498800	486520	15.11
1/6/2013 20:00	3.3	1164	72000	1357502400	410664	15.11
1/6/2013 21:00	3.2	1309.5	75600	1357506000	476924	15.11
1/6/2013 22:00	3.2	1299.8	79200	1357509600	472252	15.11
1/6/2013 23:00	2.7	1290.1	82800	1357513200	467420	15.11
1/7/2013 0:00	2.7	1280.4	0	1357516800	462825	15.11
1/7/2013 1:00	2.1	1164	3600	1357520400	410344	15.11
1/7/2013 2:00	2.1	1144.6	7200	1357524000	402130	15.11
1/7/2013 3:00	2.2	1154.3	10800	1357527600	406241	15.11
1/7/2013 4:00	1.7	1164	14400	1357531200	410261	15.11
1/7/2013 5:00	2.2	1164	18000	1357534800	410367	15.11
1/7/2013 6:00	1.1	1183.4	21600	1357538400	418501	15.11
1/7/2013 7:00	1.4	1222.2	25200	1357542000	435684	15.11
1/7/2013 8:00	2.1	1270.7	28800	1357545600	458078	15.11
1/7/2013 9:00	2.5	1358	32400	1357549200	500501	15.11
1/7/2013 10:00	2.8	1435.6	36000	1357552800	540676	15.11
1/7/2013 11:00	3.4	1484.1	39600	1357556400	570881	15.11
1/7/2013 12:00	3	1474.4	43200	1357560000	577218	15.11
1/7/2013 13:00	3.3	1552	46800	1357563600	504534	15.11
1/7/2013 14:00	3	1532.6	50400	1357567200	515652	15.11
1/7/2013 15:00	2.3	58.2	54000	1357570800	35675	15.11
1/7/2013 16:00	1.7	58.2	57600	1357574400	35675	15.11
1/7/2013 17:00	1.1	58.2	61200	1357578000	35675	15.11
1/7/2013 18:00	-0.8	1008.8	64800	1357581600	348321	15.11
1/7/2013 19:00	-1.5	999.1	68400	1357585200	344728	15.11
1/7/2013 20:00	-2.4	1299.8	72000	1357588800	471040	15.11
1/7/2013 22:00	-3.1	999.1	79200	1357596000	344645	15.11
1/7/2013 23:00	-3.1	999.1	82800	1357599600	344645	15.11
1/8/2013 0:00	-3.6	999.1	0	1357603200	344624	15.11
1/8/2013 1:00	-4.4	1299.8	3600	1357606800	470871	15.11
1/8/2013 2:00	-3.5	1503.5	7200	1357610400	540949	15.11
1/8/2013 3:00	-4	1299.8	10800	1357614000	470900	15.11
1/8/2013 4:00	-3.6	1280.4	14400	1357617600	461757	15.11
1/8/2013 5:00	-4	1338.6	18000	1357621200	489671	15.11
1/8/2013 6:00	-3.8	1358	21600	1357624800	499287	15.11
1/8/2013 7:00	-3.5	1387.1	25200	1357628400	513979	15.11
1/8/2013 8:00	-1	1416.2	28800	1357632000	529306	15.11
1/8/2013 9:00	2.2	1270.7	32400	1357635600	458107	15.11
1/8/2013 10:00	3.6	1406.5	36000	1357639200	525779	15.11
1/8/2013 11:00	4.8	1464.7	39600	1357642800	557341	15.11
1/8/2013 12:00	5.4	1464.7	43200	1357646400	557747	15.11
1/8/2013 13:00	5.5	1445.3	46800	1357650000	547371	15.11
1/8/2013 14:00	5.5	1464.7	50400	1357653600	557820	15.11
1/8/2013 15:00	5.5	1464.7	54000	1357657200	557820	15.11
1/8/2013 16:00	4.5	1493.8	57600	1357660800	556529	15.11
1/8/2013 17:00	3.9	1416.2	61200	1357664400	530993	15.11
1/8/2013 18:00	3.8	1319.2	64800	1357668000	481925	15.11
1/8/2013 19:00	2.4	1299.8	68400	1357671600	471943	15.11
