Date	Twet	Load	Hour(s)	TimeStamp(s)
2013-02-06 21:00:00	-1.5	1299.8000000000004	75600	1360184400
2013-02-06 22:00:00	-2.9	1299.8000000000004	79200	1360188000
2013-02-06 23:00:00	-3.8	58.2	82800	1360191600
2013-02-07 00:00:00	-4.9	58.2	0	1360195200
2013-02-07 01:00:00	-4.7	1183.4	3600	1360198800
2013-02-07 02:00:00	-4.6	1193.1	7200	1360202400
2013-02-07 03:00:00	-4.4	1173.7	10800	1360206000
2013-02-07 04:00:00	-4.2	58.2	14400	1360209600
2013-02-07 05:00:00	-4.2	58.2	18000	1360213200
2013-02-07 06:00:00	-3.3	58.2	21600	1360216800
2013-02-07 07:00:00	-2.0	1416.1999999999996	25200	1360220400
2013-02-07 08:00:00	-1.5	1231.9	28800	1360224000
2013-02-07 09:00:00	-1.5	771.1500000000002	32400	1360227600
2013-02-07 10:00:00	-1.7	1876.95	36000	1360231200
2013-02-07 11:00:00	-1.3	1935.15	39600	1360234800
2013-02-07 12:00:00	-1.2	1935.15	43200	1360238400
2013-02-07 13:00:00	-0.7	1949.7	46800	1360242000
2013-02-07 14:00:00	-0.8	1993.35	50400	1360245600
2013-02-07 15:00:00	-0.3	1978.8	54000	1360249200
2013-02-07 16:00:00	-0.3	1920.6	57600	1360252800
2013-02-07 17:00:00	0.0	1862.4	61200	1360256400
2013-02-07 18:00:00	0.3	800.2500000000001	64800	1360260000
2013-02-07 19:00:00	0.5	800.2500000000001	68400	1360263600
2013-02-07 20:00:00	0.5	785.7	72000	1360267200
2013-02-07 21:00:00	-0.1	814.8000000000002	75600	1360270800
2013-02-07 22:00:00	-0.7	814.8000000000002	79200	1360274400
2013-02-07 23:00:00	-0.8	800.2500000000001	82800	1360278000
2013-02-08 00:00:00	-0.8	800.2500000000001	0	1360281600
2013-02-08 01:00:00	-0.8	771.1500000000002	3600	1360285200
2013-02-08 02:00:00	-0.1	1615.0499999999995	7200	1360288800
2013-02-08 03:00:00	0.0	1280.4	10800	1360292400
2013-02-08 04:00:00	0.3	1338.6	14400	1360296000
2013-02-08 05:00:00	0.8	1440.45	18000	1360299600
2013-02-08 06:00:00	1.2	1469.55	21600	1360303200
2013-02-08 07:00:00	1.9	1455.0	25200	1360306800
2013-02-08 08:00:00	2.5	2022.4500000000005	28800	1360310400
2013-02-08 09:00:00	3.6	669.3000000000002	32400	1360314000
2013-02-08 10:00:00	3.9	853.6	36000	1360317600
2013-02-08 11:00:00	4.7	873.0	39600	1360321200
2013-02-08 12:00:00	4.8	911.8	43200	1360324800
2013-02-08 13:00:00	4.8	1008.8	46800	1360328400
2013-02-08 14:00:00	4.5	999.1	50400	1360332000
