Twet Load Tset
16.0 917.0 18.11
14.7 897.0 17.11
15.5 525.0 18.11
15.0 1468.0 18.11
15.4 817.0 18.11
16.2 576.0 19.11
15.4 499.0 18.11
15.2 504.0 18.11
14.7 506.0 17.11
14.7 508.0 17.11
14.7 909.0 17.11
14.4 528.0 17.11
14.4 521.0 17.11
13.7 1001.0 16.11
13.2 981.0 16.11
13.4 747.0 17.11
13.2 711.0 16.11
13.9 751.0 17.11
14.9 798.0 18.11
16.4 828.0 19.11
16.8 868.0 19.11
16.7 552.0 19.11
17.3 1117.0 20.11
16.7 717.0 20.11
17.2 1248.0 20.11
17.1 1721.0 20.11
16.9 556.0 19.11
17.1 884.0 19.11
16.7 872.0 19.11
15.6 620.0 18.11
15.4 547.0 18.11
14.3 509.0 17.11
14.1 514.0 17.11
13.9 505.0 17.11
14.2 1144.0 17.11
14.2 529.0 17.11
13.9 516.0 17.11
13.5 1029.0 16.11
13.2 949.0 16.11
13.3 707.0 16.11
13.6 709.0 17.11
13.8 738.0 17.11
15.5 812.0 18.11
16.1 892.0 18.11
16.7 527.0 19.11
17.6 1128.0 20.11
17.7 1114.0 20.11
18.1 562.0 21.11
17.7 1264.0 20.11
17.3 1329.0 20.11
17.3 1246.0 20.11
17.5 1309.0 20.11
17.0 1734.0 20.11
17.1 691.0 20.11
16.9 578.0 19.11
16.7 549.0 19.11
16.8 551.0 19.11
17.6 550.0 20.11
16.8 1208.0 19.11
16.8 533.0 19.11
16.6 537.0 19.11
16.6 563.0 19.11
16.7 551.0 19.11
15.7 546.0 18.11
15.3 534.0 18.11
16.1 543.0 19.11
17.0 561.0 20.11
17.9 572.0 20.11
19.2 614.0 22.11
18.7 622.0 21.11
18.8 549.0 21.11
18.4 659.0 21.11
18.0 646.0 21.11
18.4 677.0 21.11
18.4 679.0 21.11
19.0 646.0 22.11
18.4 636.0 21.11
19.0 629.0 22.11
18.9 634.0 22.11
18.6 587.0 21.11
19.9 564.0 22.11
20.0 562.0 22.11
20.0 631.0 23.11
20.1 557.0 23.11
18.9 551.0 21.11
19.6 544.0 22.11
19.4 539.0 22.11
18.2 551.0 21.11
18.5 557.0 21.11
18.7 546.0 21.11
19.9 560.0 22.11
19.9 579.0 22.11
20.0 631.0 23.11
20.6 661.0 23.11
19.8 558.0 22.11
20.0 711.0 23.11
20.5 625.0 23.11
20.5 695.0 23.11
21.6 748.0 24.11
22.0 753.0 25.11
21.3 513.0 24.11
19.3 1023.0 22.11
21.2 680.0 24.11
22.0 635.0 24.11
21.7 625.0 24.11
20.9 592.0 23.11
21.5 675.0 24.11
21.1 635.0 24.11
21.0 626.0 24.11
20.8 1403.0 23.11
20.2 1260.0 23.11
20.2 1197.0 23.11
20.0 1237.0 23.11
20.4 1172.0 23.11
20.6 1265.0 23.11
21.2 1333.0 24.11
21.7 1433.0 24.11
21.5 1522.0 24.11
21.5 1442.0 24.11
21.4 726.0 24.11
20.4 1582.0 23.11
21.1 1554.0 24.11
21.2 1513.0 24.11
21.2 1493.0 24.11
21.5 1477.0 24.11
21.0 1558.0 24.11
20.3 597.0 23.11
20.9 589.0 23.11
20.9 601.0 23.11
20.4 586.0 23.11
