Date	Twet	Load	Hour(s)	TimeStamp(s)
2011-02-16 21:00:00	3.9	58.2	75600	1297890000
2011-02-16 22:00:00	4.5	446.2	79200	1297893600
2011-02-16 23:00:00	4.8	58.2	82800	1297897200
2011-02-17 00:00:00	4.2	58.2	0	1297900800
2011-02-17 01:00:00	4.5	58.2	3600	1297904400
2011-02-17 02:00:00	4.7	58.2	7200	1297908000
2011-02-17 03:00:00	4.4	58.2	10800	1297911600
2011-02-17 04:00:00	3.5	58.2	14400	1297915200
2011-02-17 05:00:00	2.7	58.2	18000	1297918800
2011-02-17 06:00:00	2.7	58.2	21600	1297922400
2011-02-17 07:00:00	3.2	58.2	25200	1297926000
2011-02-17 08:00:00	4.8	58.2	28800	1297929600
2011-02-17 09:00:00	6.8	455.89999999999986	32400	1297933200
2011-02-17 10:00:00	8.4	436.5	36000	1297936800
2011-02-17 11:00:00	10.5	58.2	39600	1297940400
2011-02-17 12:00:00	11.2	58.2	43200	1297944000
2011-02-17 13:00:00	11.4	58.2	46800	1297947600
2011-02-17 14:00:00	11.9	58.2	50400	1297951200
2011-02-17 15:00:00	11.1	58.2	54000	1297954800
2011-02-17 16:00:00	10.3	58.2	57600	1297958400
2011-02-17 17:00:00	9.6	58.2	61200	1297962000
2011-02-17 18:00:00	9.1	58.2	64800	1297965600
2011-02-17 19:00:00	9.0	58.2	68400	1297969200
2011-02-17 20:00:00	9.0	58.2	72000	1297972800
2011-02-17 21:00:00	8.4	446.2	75600	1297976400
2011-02-17 22:00:00	12.2	58.2	79200	1297980000
2011-02-17 23:00:00	12.0	58.2	82800	1297983600
2011-02-18 00:00:00	11.5	58.2	0	1297987200
2011-02-18 01:00:00	11.5	58.2	3600	1297990800
2011-02-18 02:00:00	11.0	436.5	7200	1297994400
2011-02-18 03:00:00	10.4	58.2	10800	1297998000
2011-02-18 04:00:00	9.4	58.2	14400	1298001600
2011-02-18 05:00:00	10.7	58.2	18000	1298005200
2011-02-18 06:00:00	11.0	58.2	21600	1298008800
2011-02-18 07:00:00	10.7	58.2	25200	1298012400
2011-02-18 08:00:00	11.0	58.2	28800	1298016000
2011-02-18 09:00:00	11.5	58.2	32400	1298019600
2011-02-18 10:00:00	11.5	58.2	36000	1298023200
2011-02-18 11:00:00	12.2	58.2	39600	1298026800
2011-02-18 12:00:00	13.8	407.4	43200	1298030400
2011-02-18 13:00:00	15.0	514.1	46800	1298034000
2011-02-18 14:00:00	14.9	58.2	50400	1298037600
2011-02-18 15:00:00	14.5	436.5	54000	1298041200
2011-02-18 16:00:00	13.8	58.2	57600	1298044800
2011-02-18 17:00:00	12.9	465.6	61200	1298048400
2011-02-18 18:00:00	12.0	436.5	64800	1298052000
2011-02-18 19:00:00	10.3	475.3	68400	1298055600
2011-02-18 20:00:00	6.8	58.2	72000	1298059200
2011-02-18 21:00:00	5.6	58.2	75600	1298062800
2011-02-18 22:00:00	4.8	455.89999999999986	79200	1298066400
2011-02-18 23:00:00	3.3	426.8	82800	1298070000
2011-02-19 00:00:00	2.9	58.2	0	1298073600
2011-02-19 01:00:00	2.5	514.1	3600	1298077200
2011-02-19 02:00:00	2.4	58.2	7200	1298080800
2011-02-19 03:00:00	2.2	58.2	10800	1298084400
2011-02-19 04:00:00	1.8	58.2	14400	1298088000
2011-02-19 05:00:00	1.4	58.2	18000	1298091600
2011-02-19 06:00:00	1.3	698.4000000000002	21600	1298095200
2011-02-19 07:00:00	1.6	58.2	25200	1298098800
2011-02-19 08:00:00	2.1	465.6	28800	1298102400
2011-02-19 09:00:00	2.4	58.2	32400	1298106000
2011-02-19 10:00:00	2.9	58.2	36000	1298109600
2011-02-19 11:00:00	3.2	58.2	39600	1298113200
2011-02-19 12:00:00	3.7	58.2	43200	1298116800
2011-02-19 13:00:00	3.3	58.2	46800	1298120400
2011-02-19 14:00:00	3.3	58.2	50400	1298124000
2011-02-19 15:00:00	2.6	58.2	54000	1298127600
2011-02-19 16:00:00	2.4	58.2	57600	1298131200
2011-02-19 17:00:00	0.8	58.2	61200	1298134800
2011-02-19 18:00:00	0.1	58.2	64800	1298138400
2011-02-19 19:00:00	-0.4	58.2	68400	1298142000
2011-02-19 20:00:00	-0.7	58.2	72000	1298145600
2011-02-19 21:00:00	-1.0	58.2	75600	1298149200
2011-02-19 22:00:00	-1.7	58.2	79200	1298152800
2011-02-19 23:00:00	-1.9	58.2	82800	1298156400
2011-02-20 00:00:00	-2.1	58.2	0	1298160000
2011-02-20 01:00:00	-2.5	58.2	3600	1298163600
2011-02-20 02:00:00	-2.5	58.2	7200	1298167200
2011-02-20 03:00:00	-2.8	58.2	10800	1298170800
2011-02-20 04:00:00	-2.8	58.2	14400	1298174400
2011-02-20 05:00:00	-3.2	58.2	18000	1298178000
2011-02-20 06:00:00	-3.5	58.2	21600	1298181600
2011-02-20 07:00:00	-2.5	58.2	25200	1298185200
2011-02-20 08:00:00	-1.6	58.2	28800	1298188800
2011-02-20 09:00:00	-0.3	58.2	32400	1298192400
2011-02-20 10:00:00	0.2	58.2	36000	1298196000
2011-02-20 11:00:00	1.0	58.2	39600	1298199600
2011-02-20 12:00:00	1.1	58.2	43200	1298203200
2011-02-20 13:00:00	2.0	58.2	46800	1298206800
2011-02-20 14:00:00	2.4	494.7000000000001	50400	1298210400
2011-02-20 15:00:00	1.8	523.8000000000002	54000	1298214000
2011-02-20 16:00:00	2.0	504.4	57600	1298217600
2011-02-20 17:00:00	1.6	475.3	61200	1298221200
