Twet Load Tset
14.9 832.0 17.11
15.2 714.0 18.11
15.5 936.0 18.11
14.4 657.0 17.11
15.3 646.0 18.11
15.6 675.0 18.11
16.1 857.0 18.11
16.5 805.0 19.11
18.3 945.0 21.11
18.6 944.0 21.11
18.7 485.0 21.11
18.6 943.0 21.11
18.1 648.0 21.11
17.9 1489.0 21.11
17.7 1343.0 20.11
17.5 589.0 20.11
17.9 1120.0 20.11
18.5 532.0 21.11
18.7 509.0 21.11
17.4 500.0 20.11
17.5 511.0 20.11
17.3 1383.0 20.11
17.4 510.0 20.11
16.8 502.0 19.11
16.5 522.0 19.11
16.0 552.0 19.11
16.1 517.0 19.11
16.1 508.0 19.11
16.4 503.0 19.11
16.1 510.0 19.11
17.1 517.0 20.11
17.8 535.0 20.11
18.2 542.0 21.11
18.8 512.0 21.11
19.3 589.0 22.11
17.4 531.0 20.11
15.6 515.0 18.11
14.1 478.0 17.11
13.9 451.0 16.11
12.4 442.0 15.11
11.0 420.0 15.11
10.2 415.0 15.11
10.2 420.0 15.11
9.7 413.0 15.11
9.7 407.0 15.11
9.4 555.0 15.11
9.2 402.0 15.11
8.7 403.0 15.11
8.4 393.0 15.11
9.2 400.0 15.11
8.7 400.0 15.11
8.7 403.0 15.11
8.7 384.0 15.11
8.2 390.0 15.11
8.7 401.0 15.11
8.6 386.0 15.11
8.9 382.0 15.11
9.7 413.0 15.11
9.7 411.0 15.11
10.2 388.0 15.11
9.9 395.0 15.11
9.7 402.0 15.11
9.4 381.0 15.11
9.7 387.0 15.11
9.4 421.0 15.11
9.1 385.0 15.11
9.1 385.0 15.11
9.1 390.0 15.11
8.8 382.0 15.11
8.6 411.0 15.11
7.8 412.0 15.11
7.0 376.0 15.11
6.7 412.0 15.11
6.4 423.0 15.11
6.1 407.0 15.11
6.2 397.0 15.11
6.2 55.0 15.11
6.5 54.0 15.11
7.1 54.0 15.11
7.4 394.0 15.11
7.4 420.0 15.11
7.6 378.0 15.11
8.4 425.0 15.11
8.4 435.0 15.11
8.5 446.0 15.11
8.2 821.0 15.11
8.2 424.0 15.11
8.7 440.0 15.11
8.7 424.0 15.11
8.4 378.0 15.11
8.4 380.0 15.11
8.6 372.0 15.11
8.6 380.0 15.11
8.4 422.0 15.11
8.3 374.0 15.11
8.1 382.0 15.11
7.8 390.0 15.11
7.8 422.0 15.11
8.0 410.0 15.11
8.3 409.0 15.11
8.6 416.0 15.11
8.6 421.0 15.11
9.9 441.0 15.11
10.2 469.0 15.11
11.0 554.0 15.11
11.5 382.0 15.11
12.0 558.0 15.11
12.8 566.0 16.11
13.0 598.0 16.11
13.2 649.0 16.11
13.0 597.0 16.11
13.3 584.0 16.11
13.0 480.0 16.11
12.8 440.0 15.11
12.8 432.0 15.11
12.8 441.0 15.11
12.8 435.0 15.11
12.8 502.0 15.11
12.9 457.0 15.11
12.9 429.0 15.11
13.2 552.0 16.11
13.2 606.0 16.11
13.2 576.0 16.11
12.9 583.0 16.11
12.9 583.0 16.11
12.3 585.0 15.11
13.4 600.0 16.11
13.8 651.0 17.11
13.7 653.0 17.11
12.7 436.0 15.11
13.2 680.0 16.11
13.2 711.0 16.11
13.4 729.0 17.11
13.1 748.0 16.11
13.6 720.0 17.11
13.1 656.0 16.11
13.4 502.0 16.11
12.7 449.0 15.11
11.2 425.0 15.11
10.5 421.0 15.11
9.7 417.0 15.11
9.2 674.0 15.11
8.5 409.0 15.11
7.6 411.0 15.11
7.4 458.0 15.11
6.9 444.0 15.11
6.4 442.0 15.11
5.1 411.0 15.11
5.1 417.0 15.11
4.9 410.0 15.11
5.4 443.0 15.11
6.0 448.0 15.11
6.9 477.0 15.11
7.4 411.0 15.11
7.5 503.0 15.11
8.5 560.0 15.11
8.9 590.0 15.11
9.3 610.0 15.11
9.0 574.0 15.11
9.0 550.0 15.11
8.4 432.0 15.11
8.5 409.0 15.11
8.7 389.0 15.11
8.4 384.0 15.11
8.1 384.0 15.11
8.0 507.0 15.11
7.9 381.0 15.11
7.9 383.0 15.11
7.9 411.0 15.11
7.3 446.0 15.11
7.0 431.0 15.11
7.3 423.0 15.11
6.7 414.0 15.11
7.3 417.0 15.11
9.4 460.0 15.11
9.2 459.0 15.11
10.0 558.0 15.11
10.9 384.0 15.11
11.1 615.0 15.11
11.3 640.0 15.11
11.5 654.0 15.11
10.6 592.0 15.11
8.3 543.0 15.11
7.9 513.0 15.11
7.1 417.0 15.11
6.6 406.0 15.11
6.7 399.0 15.11
6.5 388.0 15.11
6.2 372.0 15.11
5.5 619.0 15.11
5.5 374.0 15.11
4.5 370.0 15.11
4.2 54.0 15.11
4.0 54.0 15.11
3.5 53.0 15.11
3.1 53.0 15.11
2.8 53.0 15.11
2.8 53.0 15.11
4.1 53.0 15.11
5.0 54.0 15.11
5.5 54.0 15.11
5.6 379.0 15.11
6.6 387.0 15.11
7.2 423.0 15.11
8.0 408.0 15.11
8.6 410.0 15.11
8.2 422.0 15.11
7.9 413.0 15.11
8.4 388.0 15.11
7.4 397.0 15.11
6.8 392.0 15.11
7.2 388.0 15.11
7.7 377.0 15.11
8.2 589.0 15.11
8.4 386.0 15.11
9.7 385.0 15.11
9.1 386.0 15.11
9.7 386.0 15.11
9.7 411.0 15.11
9.4 388.0 15.11
9.4 391.0 15.11
10.2 416.0 15.11
11.0 379.0 15.11
12.0 409.0 15.11
13.2 422.0 16.11
13.9 391.0 16.11
15.3 450.0 18.11
15.5 472.0 18.11
15.7 484.0 18.11
15.9 486.0 18.11
15.5 493.0 18.11
15.5 480.0 18.11
15.2 467.0 18.11
15.0 467.0 17.11
15.4 471.0 18.11
15.9 494.0 18.11
16.1 480.0 19.11
15.8 438.0 18.11
16.1 517.0 19.11
16.1 509.0 19.11
16.1 852.0 18.11
15.9 809.0 18.11
15.6 779.0 19.11
15.9 742.0 19.11
16.1 780.0 19.11
16.4 878.0 19.11
16.9 946.0 19.11
17.2 946.0 20.11
17.5 639.0 20.11
18.1 1062.0 21.11
18.0 631.0 21.11
18.0 1246.0 21.11
18.4 1309.0 21.11
18.3 1289.0 21.11
18.0 1237.0 21.11
15.3 1424.0 18.11
15.5 566.0 18.11
15.0 487.0 17.11
14.4 482.0 17.11
12.5 446.0 15.11
11.7 427.0 15.11
10.7 1252.0 15.11
10.7 430.0 15.11
10.2 414.0 15.11
9.7 471.0 15.11
9.2 464.0 15.11
8.9 421.0 15.11
8.9 435.0 15.11
8.9 474.0 15.11
8.6 433.0 15.11
9.4 475.0 15.11
10.5 531.0 15.11
10.3 520.0 15.11
10.0 424.0 15.11
11.0 580.0 15.11
10.8 566.0 15.11
11.0 615.0 15.11
11.0 642.0 15.11
10.8 610.0 15.11
10.1 570.0 15.11
9.6 453.0 15.11
9.8 423.0 15.11
9.5 417.0 15.11
10.4 401.0 15.11
8.4 395.0 15.11
8.6 575.0 15.11
8.1 401.0 15.11
8.1 374.0 15.11
8.1 406.0 15.11
8.0 440.0 15.11
7.8 406.0 15.11
7.5 412.0 15.11
8.6 406.0 15.11
7.5 413.0 15.11
9.1 441.0 15.11
9.9 465.0 15.11
10.7 476.0 15.11
10.5 393.0 15.11
