Index	Twet	Load	Tset
407	2.8	53.0	15.11
408	2.5	53.0	15.11
409	1.8	53.0	15.11
410	1.1	54.0	15.11
411	1.3	54.0	15.11
412	1.0	54.0	15.11
413	1.3	53.0	15.11
414	0.9	54.0	15.11
415	2.5	54.0	15.11
416	3.7	53.0	15.11
417	4.1	54.0	15.11
418	5.7	53.0	15.11
419	6.5	635.0	15.11
420	6.5	357.0	15.11
421	7.2	362.0	15.11
422	8.1	408.0	15.11
423	7.8	390.0	15.11
424	7.4	373.0	15.11
425	7.2	681.0	15.11
426	6.2	374.0	15.11
427	5.3	388.0	15.11
428	4.0	380.0	15.11
429	3.1	53.0	15.11
430	2.3	564.0	15.11
431	1.1	54.0	15.11
432	0.8	54.0	15.11
433	0.7	55.0	15.11
434	0.6	53.0	15.11
435	0.0	52.0	15.11
436	0.1	53.0	15.11
437	0.2	53.0	15.11
438	0.2	53.0	15.11
439	0.6	53.0	15.11
440	1.1	53.0	15.11
441	1.4	53.0	15.11
442	1.7	54.0	15.11
443	2.5	54.0	15.11
444	2.2	54.0	15.11
445	2.5	54.0	15.11
446	1.9	53.0	15.11
447	1.9	53.0	15.11
448	2.0	53.0	15.11
449	2.0	52.0	15.11
450	2.2	52.0	15.11
451	1.7	53.0	15.11
452	1.5	52.0	15.11
453	1.5	53.0	15.11
454	1.8	54.0	15.11
455	1.8	53.0	15.11
456	1.9	54.0	15.11
457	0.8	53.0	15.11
458	0.4	52.0	15.11
459	-0.2	53.0	15.11
460	-0.8	53.0	15.11
461	-1.2	53.0	15.11
462	-1.2	53.0	15.11
463	-0.5	53.0	15.11
464	0.4	53.0	15.11
465	1.1	53.0	15.11
466	1.7	53.0	15.11
467	2.0	53.0	15.11
468	2.5	54.0	15.11
469	3.0	53.0	15.11
470	3.3	728.0	15.11
471	3.3	53.0	15.11
472	2.5	52.0	15.11
473	2.2	53.0	15.11
474	1.4	53.0	15.11
475	1.9	53.0	15.11
476	1.1	54.0	15.11
477	1.8	53.0	15.11
478	0.7	53.0	15.11
479	0.3	53.0	15.11
480	-0.1	53.0	15.11
481	-0.3	53.0	15.11
482	-1.0	53.0	15.11
483	-0.8	54.0	15.11
484	-0.5	53.0	15.11
485	-1.0	53.0	15.11
486	-0.3	53.0	15.11
487	1.0	54.0	15.11
488	2.4	53.0	15.11
489	2.7	53.0	15.11
490	3.8	54.0	15.11
491	3.3	53.0	15.11
492	3.7	53.0	15.11
493	4.5	54.0	15.11
494	4.7	54.0	15.11
495	4.7	54.0	15.11
496	4.7	53.0	15.11
497	4.3	54.0	15.11
498	4.8	53.0	15.11
499	5.5	53.0	15.11
500	4.5	53.0	15.11
501	4.2	53.0	15.11
502	4.4	54.0	15.11
503	5.6	53.0	15.11
504	6.0	53.0	15.11
505	5.8	54.0	15.11
506	5.0	53.0	15.11
507	4.9	53.0	15.11
508	4.9	53.0	15.11
509	4.4	53.0	15.11
510	4.7	54.0	15.11
511	5.5	53.0	15.11
512	6.3	54.0	15.11
513	7.7	53.0	15.11
514	8.0	53.0	15.11
515	8.7	536.0	15.11
516	8.4	636.0	15.11
517	8.7	659.0	15.11
518	8.9	658.0	15.11
519	8.7	619.0	15.11
520	8.1	623.0	15.11
521	7.9	426.0	15.11
522	7.9	398.0	15.11
523	7.6	392.0	15.11
524	7.7	392.0	15.11
525	8.1	439.0	15.11
526	9.2	864.0	15.11
527	9.2	384.0	15.11
528	9.7	390.0	15.11
529	9.1	496.0	15.11
530	8.6	516.0	15.11
531	7.8	54.0	15.11
532	7.5	54.0	15.11
533	7.2	53.0	15.11
534	7.8	53.0	15.11
535	8.9	55.0	15.11
536	9.7	827.0	15.11
537	9.6	576.0	15.11
538	10.3	367.0	15.11
539	10.4	729.0	15.11
540	10.2	732.0	15.11
541	10.5	751.0	15.11
542	10.0	771.0	15.11
543	10.4	721.0	15.11
544	9.2	677.0	15.11
545	8.6	438.0	15.11
546	8.5	399.0	15.11
547	8.7	400.0	15.11
548	8.7	399.0	15.11
549	9.2	396.0	15.11
550	9.4	684.0	15.11
551	10.2	405.0	15.11
552	10.2	402.0	15.11
553	10.7	502.0	15.11
554	9.7	877.0	15.11
555	9.9	842.0	15.11
556	8.9	461.0	15.11
557	7.8	514.0	15.11
558	7.2	580.0	15.11
559	7.5	525.0	15.11
560	7.8	557.0	15.11
561	8.6	553.0	15.11
562	9.1	401.0	15.11
563	10.2	524.0	15.11
564	10.7	587.0	15.11
565	10.2	574.0	15.11
566	11.6	532.0	15.11
567	12.4	403.0	15.11
568	11.8	505.0	15.11
569	10.7	421.0	15.11
570	8.3	397.0	15.11
571	5.0	364.0	15.11
572	4.1	54.0	15.11
573	3.9	52.0	15.11
574	3.1	916.0	15.11
575	2.8	54.0	15.11
576	1.8	55.0	15.11
577	1.5	54.0	15.11
578	1.3	55.0	15.11
579	1.3	54.0	15.11
580	1.0	54.0	15.11
581	0.5	54.0	15.11
582	1.4	54.0	15.11
583	1.1	54.0	15.11
584	0.9	54.0	15.11
585	0.8	54.0	15.11
586	1.3	53.0	15.11
587	0.8	54.0	15.11
588	1.2	54.0	15.11
589	0.7	53.0	15.11
590	0.7	54.0	15.11
591	0.0	55.0	15.11
592	-0.6	55.0	15.11
593	-1.0	54.0	15.11
594	-1.1	55.0	15.11
595	-1.3	54.0	15.11
596	-1.1	56.0	15.11
597	-1.1	53.0	15.11
598	-0.9	54.0	15.11
599	-0.6	54.0	15.11
600	-1.1	54.0	15.11
601	-1.1	54.0	15.11
602	-1.4	54.0	15.11
603	-1.7	54.0	15.11
604	-1.9	54.0	15.11
605	-1.9	54.0	15.11
606	-1.3	54.0	15.11
607	-0.1	53.0	15.11
608	0.6	54.0	15.11
609	1.3	54.0	15.11
610	2.0	53.0	15.11
611	2.1	55.0	15.11
612	2.7	55.0	15.11
613	2.8	56.0	15.11
614	3.0	54.0	15.11
615	2.8	54.0	15.11
616	2.2	55.0	15.11
617	2.5	53.0	15.11
618	1.9	55.0	15.11
619	1.2	56.0	15.11
620	1.2	54.0	15.11
621	1.3	54.0	15.11
622	1.7	54.0	15.11
623	1.9	55.0	15.11
624	1.2	54.0	15.11
625	1.5	56.0	15.11
626	0.9	54.0	15.11
627	1.1	54.0	15.11
628	0.3	55.0	15.11
629	0.1	54.0	15.11
630	1.4	54.0	15.11
631	2.5	54.0	15.11
632	3.9	55.0	15.11
633	4.8	55.0	15.11
634	6.0	53.0	15.11
635	7.2	508.0	15.11
636	8.1	779.0	15.11
637	8.7	675.0	15.11
638	8.6	716.0	15.11
639	8.5	649.0	15.11
640	8.1	633.0	15.11
641	7.8	449.0	15.11
642	7.5	384.0	15.11
643	7.2	389.0	15.11
644	7.1	384.0	15.11
645	7.7	378.0	15.11
646	6.9	1079.0	15.11
647	6.8	404.0	15.11
648	4.6	364.0	15.11
649	3.7	462.0	15.11
650	2.5	55.0	15.11
651	1.9	54.0	15.11
652	1.1	54.0	15.11
653	0.7	54.0	15.11
654	0.9	55.0	15.11
655	1.6	56.0	15.11
656	2.5	54.0	15.11
657	3.1	54.0	15.11
658	3.1	387.0	15.11
659	4.2	447.0	15.11
660	4.3	851.0	15.11
661	4.8	773.0	15.11
662	4.6	599.0	15.11
663	5.1	624.0	15.11
664	4.5	601.0	15.11
665	4.2	416.0	15.11
666	3.8	370.0	15.11
667	3.3	374.0	15.11
668	3.4	54.0	15.11
669	3.1	55.0	15.11
670	2.9	992.0	15.11
671	2.7	55.0	15.11
672	2.6	54.0	15.11
673	2.9	55.0	15.11
674	2.6	54.0	15.11
675	3.1	54.0	15.11
676	3.0	55.0	15.11
677	3.3	54.0	15.11
678	4.1	55.0	15.11
679	4.5	55.0	15.11
680	5.0	54.0	15.11
681	5.6	54.0	15.11
682	6.1	54.0	15.11
683	9.1	53.0	15.11
684	9.1	55.0	15.11
685	8.8	54.0	15.11
686	10.2	54.0	15.11
687	9.7	56.0	15.11
688	9.9	55.0	15.11
689	9.9	704.0	15.11
690	11.0	382.0	15.11
691	10.2	388.0	15.11
692	12.1	407.0	15.11
693	12.4	387.0	15.11
694	11.9	55.0	16.11
