	Twet	Load	Tset
133	23.8	937.0	26.11
134	23.6	940.0	26.11
135	23.6	945.0	26.11
136	23.1	939.0	25.11
137	23.2	947.0	26.11
138	23.2	946.0	26.11
139	22.2	946.0	24.11
140	21.8	946.0	24.11
141	22.4	947.0	25.11
142	23.7	946.0	26.11
143	24.4	939.0	26.11
144	23.8	938.0	26.11
145	23.5	1764.0	26.11
146	23.5	1646.0	26.11
147	23.5	1584.0	26.11
148	24.4	1549.0	26.11
149	24.2	1466.0	26.11
150	23.4	1370.0	26.11
151	23.9	1269.0	26.11
152	23.9	1242.0	26.11
153	23.7	1229.0	26.11
154	23.6	1197.0	26.11
155	23.9	946.0	26.11
156	23.8	1228.0	26.11
157	23.9	1197.0	26.11
158	23.6	1191.0	26.11
159	23.6	1190.0	26.11
160	24.0	1196.0	26.11
161	23.4	1194.0	26.11
162	23.6	1228.0	26.11
163	24.1	1357.0	26.11
164	24.4	1405.0	26.11
165	24.2	1431.0	26.11
166	23.5	1603.0	26.11
167	23.5	645.0	26.11
168	23.4	1332.0	26.11
169	23.4	1441.0	26.11
170	23.5	1467.0	26.11
171	23.7	1486.0	26.11
172	23.2	1432.0	26.11
173	23.7	1363.0	26.11
174	23.2	1326.0	26.11
175	24.0	1264.0	26.11
176	23.4	1250.0	26.11
177	23.4	1239.0	26.11
178	23.4	1218.0	26.11
179	22.5	1533.0	25.11
180	23.6	1195.0	26.11
181	23.2	1208.0	26.11
182	23.6	1200.0	26.11
183	23.1	1229.0	26.11
184	23.3	1209.0	26.11
185	23.6	1252.0	26.11
186	22.2	1281.0	25.11
187	23.6	1317.0	26.11
188	23.7	1362.0	26.11
189	24.0	1448.0	26.11
190	23.8	1519.0	26.11
191	23.3	1381.0	26.11
192	23.5	1400.0	26.11
193	23.6	1567.0	26.11
194	23.6	1567.0	26.11
195	22.3	1534.0	25.11
196	23.2	1504.0	26.11
197	22.7	1531.0	25.11
198	23.8	1435.0	26.11
199	23.3	1252.0	26.11
200	20.6	1169.0	23.11
201	20.1	1079.0	22.11
202	20.1	1069.0	22.11
203	21.0	1539.0	24.11
204	21.5	946.0	24.11
205	21.5	1322.0	24.11
206	22.3	1145.0	25.11
207	23.9	1229.0	26.11
208	23.9	1232.0	26.11
209	23.8	1265.0	26.11
210	21.3	1181.0	24.11
211	21.3	1190.0	24.11
212	21.1	1212.0	24.11
213	21.5	1228.0	24.11
214	22.5	1294.0	25.11
215	22.3	1565.0	25.11
216	23.2	732.0	26.11
217	22.9	1385.0	25.11
218	23.0	1392.0	25.11
219	23.3	1379.0	26.11
220	23.2	1374.0	26.11
221	23.5	1355.0	26.11
222	23.7	1289.0	26.11
223	23.5	1234.0	26.11
224	23.0	1216.0	25.11
225	23.2	1221.0	26.11
226	23.4	1193.0	26.11
227	23.0	1344.0	25.11
228	22.0	1152.0	24.11
229	21.1	946.0	23.11
230	20.8	946.0	23.11
231	20.4	947.0	23.11
232	20.2	946.0	22.11
233	20.5	946.0	23.11
234	20.7	946.0	23.11
235	20.9	946.0	23.11
236	21.6	946.0	24.11
237	22.4	773.0	25.11
238	21.8	1320.0	24.11
239	22.9	1196.0	25.11
240	22.9	1195.0	25.11
241	23.0	1218.0	25.11
242	22.9	1496.0	25.11
243	22.5	1145.0	25.11
244	22.1	1525.0	25.11
245	22.9	646.0	25.11
246	22.2	1520.0	25.11
247	22.4	604.0	25.11
248	22.9	685.0	25.11
249	22.9	945.0	25.11
250	22.9	1151.0	25.11
251	22.9	946.0	25.11
252	20.1	1060.0	22.11
253	19.4	897.0	22.11
254	18.9	873.0	21.11
255	18.7	864.0	21.11
256	18.9	824.0	21.11
257	18.0	822.0	20.11
258	18.6	814.0	21.11
259	18.3	805.0	21.11
260	18.3	832.0	20.11
261	18.7	893.0	21.11
262	19.2	939.0	21.11
263	19.6	946.0	22.11
264	19.4	947.0	22.11
265	20.5	946.0	23.11
266	19.8	946.0	22.11
267	19.8	946.0	22.11
268	20.0	946.0	22.11
269	20.0	947.0	22.11
270	19.6	946.0	22.11
271	19.1	936.0	21.11
272	19.0	930.0	21.11
273	20.1	946.0	22.11
274	19.9	946.0	22.11
275	19.7	947.0	22.11
276	19.8	914.0	22.11
277	19.5	925.0	22.11
278	19.4	912.0	22.11
279	19.2	884.0	21.11
280	18.9	888.0	21.11
281	19.4	881.0	22.11
282	19.1	935.0	21.11
283	19.6	946.0	22.11
284	20.0	946.0	22.11
285	19.7	638.0	22.11
286	19.5	1210.0	22.11
287	19.8	1510.0	23.11
288	20.5	673.0	23.11
289	20.5	1285.0	23.11
290	20.0	1295.0	23.11
291	20.6	1293.0	23.11
292	20.1	1269.0	23.11
293	20.5	1232.0	23.11
294	21.9	1212.0	24.11
295	22.4	1186.0	25.11
296	22.5	1180.0	25.11
297	22.2	1161.0	25.11
298	21.9	932.0	24.11
299	21.8	1255.0	24.11
300	22.2	947.0	24.11
301	22.4	1126.0	25.11
302	22.7	1125.0	25.11
303	23.1	946.0	25.11
304	23.1	1198.0	26.11
305	23.4	1213.0	26.11
306	21.5	1163.0	24.11
307	20.9	1165.0	23.11
308	22.4	1782.0	25.11
309	22.2	1269.0	25.11
310	22.9	1327.0	25.11
311	22.7	927.0	25.11
312	22.2	1438.0	25.11
313	22.1	1478.0	25.11
314	22.1	1383.0	25.11
315	23.3	1445.0	26.11
316	22.4	1420.0	25.11
317	24.0	1379.0	26.11
318	23.7	1280.0	26.11
319	23.9	1246.0	26.11
320	24.4	1251.0	26.11
321	22.7	1212.0	25.11
322	22.4	1157.0	25.11
323	22.4	1389.0	25.11
324	21.0	1108.0	23.11
325	20.5	1055.0	23.11
326	20.7	1055.0	23.11
327	20.9	1082.0	23.11
328	21.1	1091.0	23.11
329	20.8	1114.0	23.11
330	20.4	1083.0	23.11
331	20.5	1131.0	23.11
332	21.2	1182.0	24.11
333	21.5	1259.0	24.11
334	21.7	1255.0	24.11
335	22.2	1141.0	25.11
336	21.7	1358.0	24.11
337	22.2	728.0	25.11
338	21.6	1346.0	24.11
339	21.7	1327.0	24.11
340	21.3	1312.0	24.11
341	21.4	1255.0	24.11
342	20.9	1189.0	23.11
343	21.1	1118.0	24.11
344	20.7	1110.0	23.11
345	20.5	929.0	23.11
346	20.5	930.0	23.11
347	20.3	1304.0	23.11
348	20.3	924.0	23.11
349	19.8	910.0	22.11
350	19.2	871.0	21.11
351	18.9	889.0	21.11
352	18.5	863.0	21.11
353	18.1	856.0	20.11
354	18.7	871.0	21.11
355	18.9	921.0	21.11
356	19.7	929.0	22.11
357	20.3	625.0	23.11
358	20.2	1207.0	23.11
359	19.4	1516.0	22.11
360	19.5	649.0	22.11
361	19.5	1258.0	22.11
362	19.9	1269.0	22.11
363	20.3	1279.0	23.11
364	20.2	1271.0	23.11
365	20.4	1240.0	23.11
366	20.2	1180.0	23.11
367	19.8	929.0	22.11
368	19.5	923.0	22.11
369	20.0	919.0	22.11
370	19.8	921.0	22.11
371	19.6	1216.0	22.11
372	19.4	918.0	22.11
373	19.5	919.0	22.11
374	19.0	918.0	21.11
375	18.8	880.0	21.11
376	19.8	891.0	22.11
