DATE	Hour	Twet	Load	MBO without error	Tset	Tset_BN	BN without error	Default	Tset_BN	Case 1	Default	Tset_MBO	Power_MBO	Tset_BN	Case 2	Default	Tset_MBO	Power_MBO	Tset_BN	Case 3	Default	Tset_MBO	Power_MBO	Tset_BN	Case 4	Default	Tset_MBO	Power_MBO	Tset_BN	Case 5	Default	Tset_MBO	Power_MBO
6/28/2012	12	19.8	1018.5	483855	22.11	22.11	483855	No	22.11	483855	No	22.11	483855	22.11	483855	No	22.11	483855	23.11	487398	No	23.11	487398	24.11	495644	No	25.11	503884	17.11	525065	Yes	15.11	525065
6/28/2012	13	20.3	1047.6	503705	23.11	23.11	503705	No	23.11	503705	No	23.11	503705	23.11	503705	No	23.11	503705	24.11	510558	No	23.11	503705	26.11	526718	No	26.11	526718	18.11	544895	Yes	19.11	544895
6/28/2012	14	20.2	1062.15	510159	23.11	23.11	510159	No	23.11	510159	No	23.11	510159	23.11	510159	No	23.11	510159	23.11	510159	No	23.11	510159	26.11	534177	No	26.11	534177	18.11	550279	Yes	20.11	550279
6/28/2012	15	20.2	1067	512545	23.11	23.11	512545	No	23.11	512545	No	23.11	512545	23.11	512545	No	23.11	512545	23.11	512545	No	23.11	512545	26.11	536703	No	26.11	536703	18.11	552541	Yes	19.11	552541
6/28/2012	16	20.1	1707.2	822267	23.11	21.11	878290	Yes	22.11	826731	No	22.11	826731	22.11	826731	No	22.11	826731	22.11	826731	Yes	23.11	822267	25.11	848773	Yes	26.11	862603	18.11	878290	Yes	16.11	878290
6/28/2012	17	20.4	1736.3	841438	23.11	21.11	899419	Yes	21.11	899419	Yes	23.11	841438	22.11	857799	Yes	23.11	841438	22.11	857799	Yes	23.11	841438	25.11	865332	Yes	26.11	879398	17.11	899419	Yes	15.11	899419
6/28/2012	18	20.4	1193.1	580532	23.11	23.11	580532	No	23.11	580532	No	23.11	580532	23.11	580532	No	23.11	580532	23.11	580532	No	23.11	580532	26.11	606848	No	25.11	596899	18.11	618086	Yes	20.11	618086
6/28/2012	19	20	1736.3	836766	23.11	21.11	890125	Yes	22.11	838729	No	23.11	836766	22.11	838729	No	19.11	890766	22.11	838729	No	22.11	838729	25.11	864565	Yes	26.11	878901	17.11	890766	Yes	19.11	890766
6/28/2012	20	19.3	1736.3	821269	22.11	22.11	821269	No	22.11	821269	No	22.11	821269	22.11	821269	No	22.11	821269	21.11	835472	No	21.11	835472	25.11	863438	Yes	26.11	878423	16.11	875127	Yes	18.11	875127
6/28/2012	21	19.2	1736.3	819840	22.11	22.11	819840	No	20.11	872843	Yes	22.11	819840	21.11	830100	No	21.11	830100	22.11	819840	No	22.11	819840	24.11	847703	Yes	26.11	878367	16.11	872843	Yes	18.11	872843
6/28/2012	22	19	1639.3	768145	22.11	22.11	768145	No	22.11	768145	No	22.11	768145	22.11	768145	No	22.11	768145	22.11	768145	No	19.11	821344	25.11	810940	No	22.11	768145	16.11	821344	Yes	18.11	821344
6/28/2012	23	19.3	1649	776276	22.11	22.11	776276	No	20.11	832568	Yes	22.11	776276	22.11	776276	No	22.11	776276	22.11	776276	No	22.11	776276	25.11	816360	Yes	26.11	830191	16.11	832568	Yes	17.11	832568
