Twet Load Energy Tset
8.5 71.0833096389 43573 15.11
9.0 71.0833096389 43573 15.11
9.5 71.0833096389 43573 15.11
10.0 71.0833096389 43573 15.11
10.5 71.0833096389 43573 15.11
11.0 71.0833096389 43573 15.11
11.5 71.0833096389 43884.0 15.11
12.0 71.0833096389 43975.0 15.11
12.5 71.0833096389 44287.0 15.11
13.0 71.0833096389 45101.0 15.11
13.5 71.0833096389 45956.0 15.11
14.0 71.0833096389 47449.0 16.11
14.5 71.0833096389 48271.0 16.11
15.0 71.0833096389 49618.0 17.11
15.5 71.0833096389 50467.0 17.11
16.0 71.0833096389 51639.0 18.11
16.5 71.0833096389 52538.0 18.11
17.0 71.0833096389 53603.0 19.11
17.5 71.0833096389 54480.0 19.11
18.0 71.0833096389 55477.0 20.11
18.5 71.0833096389 56293.0 20.11
19.0 71.0833096389 57238.0 21.11
19.5 71.0833096389 57975.0 21.11
20.0 71.0833096389 58875.0 22.11
20.5 71.0833096389 59522.0 22.11
21.0 71.0833096389 60380.0 23.11
21.5 71.0833096389 60921.0 23.11
22.0 71.0833096389 61750.0 24.11
22.5 71.0833096389 62215.0 24.11
23.0 71.0833096389 62984.0 25.11
23.5 71.0833096389 63397.0 25.11
24.0 71.0833096389 64078.0 26.11
24.5 71.0833096389 64458.0 26.11
25.0 71.0833096389 65657.0 26.11
-5.0 85.2999715667 52287 15.11
-4.5 85.2999715667 52287 15.11
-4.0 85.2999715667 52287 15.11
-3.5 85.2999715667 52287 15.11
-3.0 85.2999715667 52287 15.11
-2.5 85.2999715667 52287 15.11
-2.0 85.2999715667 52287 15.11
-1.5 85.2999715667 52287 15.11
-1.0 85.2999715667 52287 15.11
-0.5 85.2999715667 52287 15.11
0.0 85.2999715667 52287 15.11
0.5 85.2999715667 52287 15.11
1.0 85.2999715667 52287 15.11
1.5 85.2999715667 52287 15.11
2.0 85.2999715667 52287 15.11
2.5 85.2999715667 52287 15.11
3.0 85.2999715667 52287 15.11
3.5 85.2999715667 52287 15.11
4.0 85.2999715667 52287 15.11
4.5 85.2999715667 52287 15.11
5.0 85.2999715667 52287 15.11
5.5 85.2999715667 52287 15.11
6.0 85.2999715667 52287 15.11
6.5 85.2999715667 52287 15.11
7.0 85.2999715667 52287 15.11
7.5 85.2999715667 52287 15.11
8.0 85.2999715667 52287 15.11
8.5 85.2999715667 52287 15.11
9.0 85.2999715667 52287 15.11
9.5 85.2999715667 52287 15.11
10.0 85.2999715667 52287 15.11
10.5 85.2999715667 52637.0 15.11
11.0 85.2999715667 52674.0 15.11
11.5 85.2999715667 52744.0 15.11
12.0 85.2999715667 52909.0 15.11
12.5 85.2999715667 53442.0 15.11
13.0 85.2999715667 54137.0 15.11
13.5 85.2999715667 55070.0 15.11
14.0 85.2999715667 56991.0 16.11
14.5 85.2999715667 57868.0 16.11
15.0 85.2999715667 59683.0 17.11
15.5 85.2999715667 60524.0 17.11
16.0 85.2999715667 62190.0 17.11
16.5 85.2999715667 63033.0 18.11
17.0 85.2999715667 64539.0 19.11
17.5 85.2999715667 65388.0 19.11
18.0 85.2999715667 66742.0 20.11
18.5 85.2999715667 67588.0 20.11
19.0 85.2999715667 68823.0 21.11
19.5 85.2999715667 69630.0 21.11
20.0 85.2999715667 70764.0 22.11
20.5 85.2999715667 71514.0 22.11
21.0 85.2999715667 72553.0 23.11
21.5 85.2999715667 73238.0 23.11
22.0 85.2999715667 74185.0 24.11
22.5 85.2999715667 74804.0 24.11
23.0 85.2999715667 75655.0 25.11
23.5 85.2999715667 76210.0 25.11
24.0 85.2999715667 76961.0 26.11
24.5 85.2999715667 77464.0 26.11
25.0 85.2999715667 78725.0 26.11
-5.0 99.5166334945 61002 15.11
-4.5 99.5166334945 61002 15.11
-4.0 99.5166334945 61002 15.11
