Date	Twet	Load	Tset	Twet+Err	Load+Err
3/8/2012 2:00	10.2	58.2	15.11	11.93	41.45
3/8/2012 3:00	9.9	58.2	15.11	10.28	52.67
3/8/2012 4:00	10.2	58.2	15.11	11.66	53.21
3/8/2012 5:00	10.2	446.2	15.11	11.05	491.73
3/8/2012 6:00	10.7	785.7	15.11	10.84	764.6
3/8/2012 7:00	11.5	843.9	15.11	13.39	994.74
3/8/2012 8:00	12.8	892.4	15.11	13.11	820.7
3/8/2012 9:00	13	970	16.11	14.98	948.47
3/8/2012 10:00	13.9	979.7	17.11	15.65	1096.43
3/8/2012 11:00	14.4	931.2	17.11	14.91	1064.16
3/8/2012 12:00	14.6	960.3	17.11	15.58	1233.81
3/8/2012 13:00	14.8	892.4	17.11	15.59	992.83
3/8/2012 14:00	14.3	843.9	17.11	15.65	834.3
3/8/2012 15:00	14.3	552.9	17.11	15.93	545.51
3/8/2012 16:00	13.6	455.9	16.11	15.33	466.28
3/8/2012 17:00	13.6	494.7	16.11	15.33	531.12
3/8/2012 18:00	13.4	475.3	16.11	14.56	427.43
3/8/2012 19:00	13.4	475.3	16.11	13.83	416.12
3/8/2012 20:00	13.1	475.3	16.11	15.04	530.25
3/8/2012 21:00	13.1	455.9	16.11	14.09	397.53
3/8/2012 22:00	13.6	552.9	17.11	15.14	489.25
3/8/2012 23:00	13.9	649.9	17.11	15.52	552.95
3/9/2012 0:00	13.7	640.2	17.11	15.65	478.76
3/9/2012 1:00	9.9	649.9	15.11	10.93	710.8
3/9/2012 2:00	7.7	572.3	15.11	9.29	483.37
3/9/2012 3:00	6	649.9	15.11	7.02	655.49
3/9/2012 4:00	5.1	679	15.11	5.33	746.39
3/9/2012 5:00	4.1	58.2	15.11	4.33	40.93
3/9/2012 6:00	3.2	58.2	15.11	4.62	53.72
3/9/2012 7:00	2.5	58.2	15.11	3.77	60.98
3/9/2012 8:00	2.6	58.2	15.11	4.28	54.05
3/9/2012 9:00	2.5	58.2	15.11	3.36	51.13
3/9/2012 10:00	3.1	58.2	15.11	4.36	57.11
3/9/2012 11:00	3.8	58.2	15.11	3.91	40.76
3/9/2012 12:00	4.6	58.2	15.11	5.09	50.47
3/9/2012 13:00	5	58.2	15.11	5.77	60.22
3/9/2012 14:00	5.9	58.2	15.11	6.22	74.22
3/9/2012 15:00	5.3	58.2	15.11	6.15	69.05
3/9/2012 16:00	4.9	58.2	15.11	5.94	63.84
3/9/2012 17:00	3.7	58.2	15.11	5.5	73.77
3/9/2012 18:00	2.6	58.2	15.11	2.87	66.18
3/9/2012 19:00	2	58.2	15.11	2.69	53.33
3/9/2012 20:00	1.4	58.2	15.11	3.07	41.9
3/9/2012 21:00	0.8	58.2	15.11	1.18	61.42
3/9/2012 22:00	0.1	58.2	15.11	1.42	73.93
3/9/2012 23:00	-0.6	58.2	15.11	0.19	45.13
3/10/2012 0:00	-1.2	58.2	15.11	0.01	51.37
3/10/2012 1:00	-1.5	58.2	15.11	-1.15	67.36
3/10/2012 2:00	-2.1	58.2	15.11	-0.52	47.7
3/10/2012 3:00	-2.2	58.2	15.11	-0.72	45.15
3/10/2012 4:00	-2.6	58.2	15.11	-0.77	43.37
3/10/2012 5:00	-3.1	58.2	15.11	-2.54	46.52
3/10/2012 6:00	-3.1	58.2	15.11	-1.42	43.34
3/10/2012 7:00	-2	58.2	15.11	-0.63	65.09
3/10/2012 8:00	-1.3	58.2	15.11	0.2	74.78
3/10/2012 9:00	-1.1	58.2	15.11	-1.06	68.03
3/10/2012 10:00	-0.6	58.2	15.11	0.24	55.81
3/10/2012 11:00	0.2	58.2	15.11	1.62	43.46
3/10/2012 12:00	0.4	58.2	15.11	2.23	46.62
3/10/2012 13:00	1.2	58.2	15.11	3.03	64.49
3/10/2012 14:00	1.5	58.2	15.11	3.37	44.97
3/10/2012 15:00	1.1	58.2	15.11	2.93	64.02
3/10/2012 16:00	1	58.2	15.11	1.02	60.74
3/10/2012 17:00	0.6	58.2	15.11	2.43	50.21
3/10/2012 18:00	0	58.2	15.11	0.54	41.9
3/10/2012 19:00	-0.6	58.2	15.11	0.74	65.52
3/10/2012 20:00	-0.9	58.2	15.11	-0.2	49.93
3/10/2012 21:00	-1.6	58.2	15.11	-1.11	45.33
3/10/2012 22:00	-1.8	58.2	15.11	-0.6	67.33
