	Hour	DayofWeek	Twet	Tset
1047	13	3	1	15.11
1048	13	3	2	15.11
1049	13	3	4	16.11
1050	13	3	5	18.11
1051	13	3	6	18.11
1052	13	3	7	19.11
1053	13	3	8	20.11
1054	13	3	10	22.11
1055	13	3	11	23.11
1056	13	3	12	23.11
1057	13	3	15	26.11
1058	13	3	16	26.11
1059	13	4	0	15.11
1060	13	4	1	15.11
1061	13	4	2	15.11
1062	13	4	4	17.11
1063	13	4	6	18.11
1064	13	4	7	19.11
1065	13	4	8	17.11
1066	13	4	9	21.11
1067	13	4	11	22.11
1068	13	4	12	24.11
1069	13	4	13	25.11
1070	13	4	14	26.11
1071	13	4	15	26.11
1072	13	4	16	26.11
1073	13	5	0	15.11
1074	13	5	2	15.11
1075	13	5	5	17.11
1076	13	5	6	15.11
1077	13	5	7	18.11
1078	13	5	8	17.11
1079	13	5	9	18.11
1080	13	5	10	22.11
1081	13	5	11	22.11
1082	13	5	13	25.11
1083	13	5	14	26.11
1084	13	5	15	26.11
1085	13	5	16	25.11
1086	13	6	0	15.11
1087	13	6	1	15.11
1088	13	6	2	15.11
1089	13	6	4	15.11
1090	13	6	6	18.11
1091	13	6	8	20.11
1092	13	6	9	21.11
1093	13	6	10	22.11
1094	13	6	11	23.11
1095	13	6	13	25.11
1096	13	6	15	26.11
1097	13	6	16	26.11
1098	14	0	0	15.11
1099	14	0	2	15.11
1100	14	0	3	15.11
1101	14	0	4	16.11
1102	14	0	5	18.11
1103	14	0	7	19.11
1104	14	0	8	17.11
1105	14	0	10	22.11
1106	14	0	11	23.11
1107	14	0	13	25.11
1108	14	0	14	26.11
1109	14	0	15	26.11
1110	14	1	0	15.11
1111	14	1	1	15.11
1112	14	1	3	16.11
1113	14	1	4	15.11
1114	14	1	7	16.11
1115	14	1	9	21.11
1116	14	1	10	22.11
1117	14	1	11	23.11
1118	14	1	12	24.11
1119	14	1	13	25.11
1120	14	1	14	26.11
1121	14	1	16	26.11
1122	14	2	0	15.11
1123	14	2	3	16.11
1124	14	2	4	16.11
1125	14	2	6	18.11
1126	14	2	8	20.11
1127	14	2	9	21.11
1128	14	2	10	22.11
1129	14	2	11	23.11
1130	14	2	12	23.11
1131	14	2	13	25.11
1132	14	2	14	26.11
1133	14	2	15	26.11
1134	14	3	0	15.11
1135	14	3	1	15.11
1136	14	3	2	15.11
1137	14	3	4	16.11
1138	14	3	5	18.11
1139	14	3	6	18.11
1140	14	3	7	19.11
1141	14	3	8	17.11
1142	14	3	10	22.11
1143	14	3	11	23.11
1144	14	3	12	24.11
1145	14	3	15	26.11
1146	14	3	16	26.11
1147	14	4	0	15.11
1148	14	4	2	15.11
