	Unnamed: 0	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek	Load_dis	Twet_dis	Tset_BN
142	2012-03-02 12:00:00	5.7	58.2	43200	1330689600	35675	15.11	12	3	4	100	10.0	15.11
143	2012-03-02 13:00:00	6.3	58.2	46800	1330693200	35675	15.11	13	3	4	100	10.0	15.11
144	2012-03-02 14:00:00	6.4	58.2	50400	1330696800	35675	15.11	14	3	4	100	10.0	15.11
145	2012-03-02 15:00:00	7.6	58.2	54000	1330700400	35675	15.11	15	3	4	100	10.0	15.11
146	2012-03-02 16:00:00	7.5	58.2	57600	1330704000	35675	15.11	16	3	4	100	10.0	15.11
147	2012-03-02 17:00:00	7.2	58.2	61200	1330707600	35675	15.11	17	3	4	100	10.0	15.11
148	2012-03-02 18:00:00	7.2	58.2	64800	1330711200	35675	15.11	18	3	4	100	10.0	15.11
149	2012-03-02 19:00:00	7.2	58.2	68400	1330714800	35675	15.11	19	3	4	100	10.0	15.11
150	2012-03-02 20:00:00	7.2	58.2	72000	1330718400	35675	15.11	20	3	4	100	10.0	15.11
151	2012-03-02 21:00:00	7.2	58.2	75600	1330722000	35675	15.11	21	3	4	100	10.0	15.11
152	2012-03-02 22:00:00	7.2	58.2	79200	1330725600	35675	15.11	22	3	4	100	10.0	15.11
153	2012-03-02 23:00:00	7.2	58.2	82800	1330729200	35675	15.11	23	3	4	100	10.0	15.11
154	2012-03-03 00:00:00	7.2	58.2	0	1330732800	35675	15.11	0	3	5	100	10.0	15.11
155	2012-03-03 01:00:00	7.5	58.2	3600	1330736400	35675	15.11	1	3	5	100	10.0	15.11
156	2012-03-03 02:00:00	7.5	58.2	7200	1330740000	35675	15.11	2	3	5	100	10.0	15.11
157	2012-03-03 03:00:00	8.0	58.2	10800	1330743600	35675	15.11	3	3	5	100	10.0	15.11
158	2012-03-03 04:00:00	8.3	58.2	14400	1330747200	35675	15.11	4	3	5	100	10.0	15.11
159	2012-03-03 05:00:00	8.0	58.2	18000	1330750800	35675	15.11	5	3	5	100	10.0	15.11
160	2012-03-03 06:00:00	8.6	58.2	21600	1330754400	35675	15.11	6	3	5	100	10.0	15.11
161	2012-03-03 07:00:00	8.8	58.2	25200	1330758000	35675	15.11	7	3	5	100	10.0	15.11
162	2012-03-03 08:00:00	9.4	58.2	28800	1330761600	35675	15.11	8	3	5	100	10.0	15.11
163	2012-03-03 09:00:00	9.7	58.2	32400	1330765200	35675	15.11	9	3	5	100	10.0	15.11
164	2012-03-03 10:00:00	7.9	58.2	36000	1330768800	35675	15.11	10	3	5	100	10.0	15.11
165	2012-03-03 11:00:00	7.3	58.2	39600	1330772400	35675	15.11	11	3	5	100	10.0	15.11
166	2012-03-03 12:00:00	5.5	58.2	43200	1330776000	35675	15.11	12	3	5	100	10.0	15.11
167	2012-03-03 13:00:00	7.1	58.2	46800	1330779600	35675	15.11	13	3	5	100	10.0	15.11
168	2012-03-03 14:00:00	7.7	58.2	50400	1330783200	35675	15.11	14	3	5	100	10.0	15.11
169	2012-03-03 15:00:00	7.4	58.2	54000	1330786800	35675	15.11	15	3	5	100	10.0	15.11
170	2012-03-03 16:00:00	6.4	58.2	57600	1330790400	35675	15.11	16	3	5	100	10.0	15.11
171	2012-03-03 17:00:00	5.4	58.2	61200	1330794000	35675	15.11	17	3	5	100	10.0	15.11
172	2012-03-03 18:00:00	4.1	58.2	64800	1330797600	35675	15.11	18	3	5	100	10.0	15.11
